項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,夫婦のみの世帯／実数（円）,夫婦のみの世帯／構成比（％）,夫婦と未婚の子供から成る世帯／実数（円）,夫婦と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／実数（円）,一人親と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／実数（円）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／構成比（％）,その他／実数（円）,その他／構成比（％）,（再掲）夫婦共働き世帯／実数（円）,（再掲）夫婦共働き世帯／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,3609,-,4822,-,879,-,65,-,690,-,3453,-
0,0,0,0,0,調査世帯数,674,-,244,-,327,-,57,-,4,-,47,-,232,-
0,0,0,0,0,世帯人員,2.91,-,2,-,3.67,-,2.27,-,2.84,-,3.27,-,3.34,-
0,0,0,0,0,有業人員,1.36,-,0.77,-,1.8,-,1.25,-,0.79,-,1.44,-,2.25,-
0,0,0,0,0,世帯主平均年齢,59.6,-,67.4,-,51.9,-,68.3,-,44.2,-,61.5,-,50.1,-
2,2,0,0,0,生計支出,340536,-,295332,-,397907,-,248191,-,369022,-,295557,-,394932,-
2,3,0,0,0,消費支出,322669,100,292524,100,362706,100,248191,100,369022,100,295557,100,379491,100
2,4,1,0,0,食料,90453,28,81588,27.9,100730,27.8,69484,28,87536,23.7,91479,31,100066,26.4
2,5,1,1,0,穀類,6846,2.1,5734,2,7922,2.2,5220,2.1,5503,1.5,7199,2.4,7095,1.9
2,6,1,1,1,米類,1728,0.5,1392,0.5,2028,0.6,1289,0.5,699,0.2,1949,0.7,1727,0.5
2,6,1,1,2,パン,2922,0.9,2505,0.9,3369,0.9,2163,0.9,2627,0.7,2929,1,3059,0.8
2,6,1,1,3,麺類,1644,0.5,1356,0.5,1899,0.5,1321,0.5,1525,0.4,1777,0.6,1741,0.5
2,6,1,1,4,他の穀類,552,0.2,481,0.2,626,0.2,447,0.2,652,0.2,544,0.2,569,0.1
2,5,1,2,0,魚介類,6841,2.1,7184,2.5,6778,1.9,5352,2.2,5305,1.4,7408,2.5,6338,1.7
2,6,1,2,1,生鮮魚介,4094,1.3,4265,1.5,4111,1.1,3079,1.2,3430,0.9,4387,1.5,3861,1
2,6,1,2,2,塩干魚介,1099,0.3,1161,0.4,1072,0.3,852,0.3,826,0.2,1283,0.4,986,0.3
2,6,1,2,3,魚肉練製品,662,0.2,700,0.2,630,0.2,583,0.2,299,0.1,779,0.3,555,0.1
2,6,1,2,4,他の魚介加工品,987,0.3,1058,0.4,965,0.3,838,0.3,749,0.2,959,0.3,936,0.2
2,5,1,3,0,肉類,8897,2.8,7062,2.4,10675,2.9,6419,2.6,9474,2.6,9168,3.1,10021,2.6
2,6,1,3,1,生鮮肉,7288,2.3,5743,2,8775,2.4,5230,2.1,8582,2.3,7550,2.6,8263,2.2
2,6,1,3,2,加工肉,1610,0.5,1319,0.5,1899,0.5,1190,0.5,891,0.2,1619,0.5,1759,0.5
2,5,1,4,0,乳卵類,4600,1.4,4265,1.5,5072,1.4,3505,1.4,3403,0.9,4461,1.5,4674,1.2
2,6,1,4,1,牛乳,1381,0.4,1283,0.4,1545,0.4,877,0.4,930,0.3,1383,0.5,1434,0.4
2,6,1,4,2,乳製品,2353,0.7,2206,0.8,2581,0.7,1920,0.8,1925,0.5,2081,0.7,2377,0.6
2,6,1,4,3,卵,867,0.3,776,0.3,946,0.3,708,0.3,548,0.1,996,0.3,864,0.2
2,5,1,5,0,野菜・海藻,10682,3.3,10931,3.7,10720,3,9116,3.7,9306,2.5,11083,3.7,9821,2.6
2,6,1,5,1,生鮮野菜,7457,2.3,7556,2.6,7555,2.1,6345,2.6,7074,1.9,7644,2.6,6939,1.8
2,6,1,5,2,乾物・海藻,803,0.2,826,0.3,806,0.2,688,0.3,568,0.2,792,0.3,734,0.2
2,6,1,5,3,大豆加工品,1178,0.4,1170,0.4,1188,0.3,1094,0.4,741,0.2,1253,0.4,1053,0.3
2,6,1,5,4,他の野菜・海藻加工品,1244,0.4,1378,0.5,1170,0.3,988,0.4,923,0.3,1393,0.5,1096,0.3
2,5,1,6,0,果物,3772,1.2,4376,1.5,3420,0.9,3287,1.3,3803,1,3715,1.3,3178,0.8
2,6,1,6,1,生鮮果物,3353,1,3887,1.3,3044,0.8,2938,1.2,3588,1,3297,1.1,2784,0.7
2,6,1,6,2,果物加工品,419,0.1,489,0.2,376,0.1,349,0.1,216,0.1,419,0.1,395,0.1
2,5,1,7,0,油脂・調味料,4200,1.3,3853,1.3,4624,1.3,3238,1.3,4362,1.2,4266,1.4,4357,1.1
2,6,1,7,1,油脂,466,0.1,468,0.2,483,0.1,369,0.1,501,0.1,469,0.2,462,0.1
2,6,1,7,2,調味料,3734,1.2,3385,1.2,4142,1.1,2869,1.2,3861,1,3797,1.3,3896,1
2,5,1,8,0,菓子類,7237,2.2,5854,2,8757,2.4,5093,2.1,8257,2.2,6521,2.2,8121,2.1
2,5,1,9,0,調理食品,13896,4.3,12216,4.2,15024,4.1,12357,5,14980,4.1,16679,5.6,15367,4
2,6,1,9,1,主食的調理食品,5930,1.8,5267,1.8,6413,1.8,4862,2,4341,1.2,7330,2.5,6565,1.7
2,6,1,9,2,他の調理食品,7966,2.5,6949,2.4,8611,2.4,7495,3,10639,2.9,9349,3.2,8802,2.3
2,5,1,10,0,飲料,5643,1.7,4919,1.7,6301,1.7,4615,1.9,4922,1.3,6094,2.1,6453,1.7
2,6,1,10,1,茶類,1295,0.4,1235,0.4,1328,0.4,1127,0.5,906,0.2,1593,0.5,1399,0.4
2,6,1,10,2,コーヒー・ココア,1164,0.4,1111,0.4,1283,0.4,739,0.3,530,0.1,1145,0.4,1388,0.4
2,6,1,10,3,他の飲料,3184,1,2573,0.9,3691,1,2749,1.1,3487,0.9,3357,1.1,3667,1
2,5,1,11,0,酒類,4628,1.4,4783,1.6,4942,1.4,2248,0.9,1247,0.3,4610,1.6,5893,1.6
2,5,1,12,0,外食,13211,4.1,10414,3.6,16495,4.5,9034,3.6,16974,4.6,10275,3.5,18748,4.9
2,6,1,12,1,一般外食,12422,3.8,10414,3.6,14959,4.1,8777,3.5,13731,3.7,9938,3.4,17514,4.6
2,6,1,12,2,学校給食,788,0.2,-,-,1536,0.4,257,0.1,3243,0.9,337,0.1,1235,0.3
2,4,2,0,0,住居,26599,8.2,29924,10.2,22716,6.3,31564,12.7,43875,11.9,29360,9.9,28617,7.5
2,5,2,1,0,家賃地代,14505,4.5,15269,5.2,13866,3.8,16294,6.6,41656,11.3,12532,4.2,20301,5.3
