項目,階層,大分類,中分類,小分類,中間計,符号,項目名,都平均／実数（円）,都平均／対前年増加率（％）,第1階層／実数（円）,第2階層／実数（円）,第3階層／実数（円）,第4階層／実数（円）,第5階層／実数（円）,第6階層／実数（円）,第7階層／実数（円）
0,0,0,0,0,0,0,世帯数分布,10000,-,1429,1429,1429,1429,1429,1429,1429
0,0,0,0,0,0,0,調査世帯数,365,-,52,53,53,53,53,51,50
0,0,0,0,0,0,0,世帯人員,3.27,-,2.95,2.97,3.3,3.35,3.41,3.41,3.45
0,0,0,0,0,0,0,有業人員,1.76,-,1.63,1.6,1.65,1.71,1.83,1.98,1.91
0,0,0,0,0,0,0,世帯主平均年齢,49.5,-,57.3,48.9,48.1,47.8,48.4,48.3,48
1,0,0,0,0,0,0,受取,1609662,14,590265,1138005,1256443,1342736,1856766,2010089,3035556
1,1,0,0,0,0,0,実収入,730386,4.1,162810,367944,479627,594745,726911,925988,1825042
1,2,0,0,0,0,0,経常収入,711310,5.3,156485,359595,467920,567693,696229,908352,1794647
1,3,0,0,0,0,0,勤め先収入,673304,5.3,87872,300368,430421,544799,672808,883675,1763544
1,4,0,0,0,0,0,世帯主収入,549604,5,82562,279348,393521,467862,548058,676449,1373980
1,6,0,0,0,0,0,うち男,524416,5,62408,245301,359688,451032,535522,644063,1347548
1,5,0,0,0,0,0,定期収入,442767,5,81943,275361,388807,455580,534033,620931,741369
1,5,0,0,0,0,0,臨時収入,4565,-24.2,272,1995,2487,5649,5884,7384,8660
1,5,0,0,0,0,0,賞与,102272,6.7,347,1992,2227,6633,8141,48135,623952
1,4,0,0,0,0,0,世帯主の配偶者の収入,111873,10.4,4538,17672,28906,65572,113926,181954,366441
1,6,0,0,0,0,0,うち女,107887,11.8,4538,17179,28460,62387,110590,168887,359196
1,4,0,0,0,0,0,他の世帯員収入,11827,-20.3,771,3348,7994,11365,10824,25272,23122
1,3,0,0,0,0,0,事業・内職収入,6894,2.6,906,12500,6952,5851,2505,10420,8929
