項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,夫婦のみの世帯／実数（円）,夫婦のみの世帯／構成比（％）,夫婦と未婚の子供から成る世帯／実数（円）,夫婦と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／実数（円）,一人親と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／実数（円）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／構成比（％）,その他／実数（円）,その他／構成比（％）,（再掲）夫婦共働き世帯／実数（円）,（再掲）夫婦共働き世帯／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,3589,-,4872,-,851,-,31,-,688,-,3272,-
0,0,0,0,0,調査世帯数,661,-,235,-,323,-,55,-,2,-,48,-,216,-
0,0,0,0,0,世帯人員,2.95,-,2,-,3.7,-,2.32,-,x,-,3.36,-,3.41,-
0,0,0,0,0,有業人員,1.35,-,0.68,-,1.8,-,1.49,-,x,-,1.45,-,2.29,-
0,0,0,0,0,世帯主平均年齢,59.8,-,68.1,-,51.5,-,69,-,x,-,63.4,-,49.4,-
2,2,0,0,0,生計支出,306212,-,279884,-,340344,-,262578,-,x,-,255810,-,363285,-
2,3,0,0,0,消費支出,302089,100,279884,100,331882,100,262578,100,x,x,255810,100,363285,100
2,4,1,0,0,食料,88928,29.4,76595,27.4,99924,30.1,75204,28.6,x,x,92357,36.1,99560,27.4
2,5,1,1,0,穀類,6688,2.2,5460,2,7805,2.4,5094,1.9,x,x,7154,2.8,7091,2
2,6,1,1,1,米類,1688,0.6,1309,0.5,2005,0.6,1299,0.5,-,-,1899,0.7,1717,0.5
2,6,1,1,2,パン,2832,0.9,2375,0.8,3315,1,1982,0.8,x,x,2849,1.1,3055,0.8
2,6,1,1,3,麺類,1730,0.6,1417,0.5,1977,0.6,1428,0.5,x,x,1981,0.8,1864,0.5
2,6,1,1,4,他の穀類,439,0.1,360,0.1,508,0.2,384,0.1,x,x,425,0.2,455,0.1
2,5,1,2,0,魚介類,6162,2,5979,2.1,6322,1.9,4843,1.8,x,x,7608,3,5998,1.7
2,6,1,2,1,生鮮魚介,3764,1.2,3637,1.3,3888,1.2,2777,1.1,x,x,4773,1.9,3763,1
2,6,1,2,2,塩干魚介,1019,0.3,992,0.4,1028,0.3,845,0.3,x,x,1317,0.5,896,0.2
2,6,1,2,3,魚肉練製品,513,0.2,525,0.2,484,0.1,470,0.2,-,-,706,0.3,436,0.1
2,6,1,2,4,他の魚介加工品,865,0.3,824,0.3,922,0.3,751,0.3,-,-,813,0.3,902,0.2
