項目,階層,大分類,中分類,小分類,中間計,符号,項目名,都平均／実数（円）,都平均／対前年増加率（％）,35歳未満（円）,35～39歳（円）,40～44歳（円）,45～49歳（円）,50～54歳（円）,55～59歳（円）,60～64歳（円）,65歳以上（円）,（再掲）75歳以上（円）
0,0,0,0,0,0,0,世帯数分布,10000,-,539,639,785,968,1029,1097,935,4009,1926
0,0,0,0,0,0,0,調査世帯数,674,-,35,45,53,67,69,74,61,270,129
0,0,0,0,0,0,0,世帯人員,2.91,-,2.96,3.67,3.67,3.58,3.35,3,2.77,2.38,2.27
0,0,0,0,0,0,0,有業人員,1.36,-,1.6,1.61,1.53,1.71,1.77,1.91,1.76,0.81,0.54
0,0,0,0,0,0,0,世帯主平均年齢,59.6,-,31,37.1,42.2,46.9,51.9,56.9,62,75.5,81.8
2,2,0,0,0,0,0,生計支出,340536,2.8,339073,306444,362949,544013,416597,372087,333783,269258,245469
2,3,0,0,0,0,0,消費支出,322669,1,330308,297169,340040,371718,416597,372087,333783,269258,245469
2,4,1,0,0,0,0,食料,94169,0.1,69375,88775,93283,102428,107787,103799,103354,87899,79871
2,5,1,1,0,0,0,穀類,6979,-3.2,4548,6324,6981,7548,7672,7302,7379,6900,6491
2,6,1,1,1,0,0,米類,1771,-9.5,896,1288,1469,1706,1936,1736,1890,1963,1968
2,7,1,1,1,0,102,米,1771,-9.5,896,1288,1469,1706,1936,1736,1890,1963,1968
2,6,1,1,2,0,0,パン,2954,0.3,1950,2920,3098,3400,3152,3199,3154,2807,2567
2,7,1,1,2,0,120,食パン,952,-3.1,634,792,990,1026,1003,922,979,985,933
2,7,1,1,2,0,129,他のパン,2002,2,1317,2129,2108,2374,2149,2277,2174,1822,1635
2,6,1,1,3,0,0,麺類,1694,-2.8,1252,1579,1805,1845,2000,1767,1770,1600,1458
2,7,1,1,3,0,130,生うどん・そば,277,-8.3,189,246,237,269,281,284,308,293,286
2,7,1,1,3,0,131,乾うどん・そば,199,-2.5,105,105,123,127,163,189,171,278,288
2,7,1,1,3,0,134,パスタ,139,-13.7,108,156,155,152,210,163,157,105,88
2,7,1,1,3,0,133,中華麺,428,-4,255,345,518,497,496,427,439,410,368
2,7,1,1,3,0,135,カップ麺,393,8,407,446,472,492,552,443,418,286,259
2,7,1,1,3,0,132,即席麺,176,2.3,140,190,211,217,204,184,174,153,115
2,7,1,1,3,0,139,他の麺類,82,-11.8,49,92,89,92,96,76,102,75,55
2,6,1,1,4,0,0,他の穀類,559,-1.4,449,536,611,597,584,600,566,532,498
2,7,1,1,4,0,140,小麦粉,58,-15.9,32,39,57,52,61,66,50,64,63
2,7,1,1,4,0,150,もち,164,0,53,96,87,163,115,124,183,219,239
2,7,1,1,4,0,160,他の穀類のその他,337,0.9,364,402,466,383,408,410,332,249,196
2,5,1,2,0,0,0,魚介類,7041,0.3,2815,4214,5025,5878,6742,6676,8332,8542,8270
2,6,1,2,1,0,0,生鮮魚介,4165,2.6,1551,2515,2986,3651,4127,3935,5093,4951,4624
2,7,1,2,1,170-189,0,鮮魚,3809,2.4,1442,2350,2750,3349,3862,3596,4627,4495,4220
2,7,1,2,1,170-189,170,まぐろ,687,-1.6,224,395,417,550,711,628,846,842,828
2,7,1,2,1,170-189,172,あじ,99,3.1,31,54,51,67,99,75,131,131,122
2,7,1,2,1,170-189,173,いわし,36,0,5,11,23,18,25,34,36,54,55
2,7,1,2,1,170-189,174,かつお,140,33.3,60,70,102,134,122,136,182,164,127
2,7,1,2,1,170-189,175,かれい,53,-3.6,7,24,19,30,34,32,44,90,103
2,7,1,2,1,170-189,176,さけ,498,-4,244,380,424,426,595,472,554,544,540
2,7,1,2,1,170-189,177,さば,67,0,57,64,47,59,56,65,69,76,66
2,7,1,2,1,170-189,178,さんま,42,-8.7,10,27,19,31,47,30,50,55,60
2,7,1,2,1,170-189,180,たい,109,7.9,28,69,67,99,90,110,171,127,110
2,7,1,2,1,170-189,181,ぶり,264,-1.1,123,181,286,248,317,231,334,275,269
2,7,1,2,1,170-189,182,いか,144,-3.4,37,53,97,142,138,118,183,182,143
2,7,1,2,1,170-189,183,たこ,124,-15.1,62,89,140,112,121,140,138,129,90
2,7,1,2,1,170-189,185,えび,277,8.6,151,177,245,223,281,271,410,297,258
2,7,1,2,1,170-189,186,かに,102,-9.7,23,19,49,53,78,92,169,133,149
2,7,1,2,1,170-189,189,他の鮮魚,689,5.5,241,469,531,773,622,637,741,806,768
2,7,1,2,1,170-189,187,さしみ盛合わせ,483,16.7,140,268,234,386,527,528,569,591,533
2,7,1,2,1,190-194,0,貝類,356,5.3,109,165,236,302,264,339,466,456,404
2,7,1,2,1,190-194,190,あさり,79,5.3,14,45,55,45,67,78,99,104,100
2,7,1,2,1,190-194,192,しじみ,31,-24.4,7,7,13,14,20,24,29,51,43
2,7,1,2,1,190-194,191,かき(貝),85,23.2,13,49,52,95,63,78,99,108,100
2,7,1,2,1,190-194,194,ほたて貝,118,-0.8,65,39,65,101,84,120,175,146,123
2,7,1,2,1,190-194,193,他の貝,43,22.9,9,26,52,46,30,39,65,48,38
2,6,1,2,2,0,0,塩干魚介,1156,-5.6,509,671,844,851,1139,1041,1268,1455,1470
2,7,1,2,2,0,195,塩さけ,148,-12.9,75,85,84,110,145,138,122,197,200
2,7,1,2,2,0,196,たらこ,208,8.3,73,113,129,127,214,233,311,243,235
2,7,1,2,2,0,197,しらす干し,172,-2.8,93,124,170,129,158,161,188,204,208
2,7,1,2,2,0,198,干しあじ,71,-4.1,7,28,35,39,54,41,69,114,127
2,7,1,2,2,0,202,他の塩干魚介,558,-8.7,261,321,426,447,568,468,577,698,700
2,6,1,2,3,0,0,魚肉練製品,680,1,275,367,412,504,510,689,822,877,874
2,7,1,2,3,0,203,揚げかまぼこ,165,-4.1,36,67,73,126,104,170,242,222,217
2,7,1,2,3,0,204,ちくわ,117,5.4,72,72,71,103,106,139,112,139,130
2,7,1,2,3,0,205,かまぼこ,246,0,89,106,132,168,196,245,277,330,358
2,7,1,2,3,0,209,他の魚肉練製品,153,6.3,79,122,136,108,105,135,191,187,168
2,6,1,2,4,0,0,他の魚介加工品,1041,-2.1,479,661,783,871,966,1011,1149,1259,1303
2,7,1,2,4,0,210,かつお節・削り節,67,-17.3,24,34,41,40,52,46,68,97,105
2,7,1,2,4,0,213,魚介の漬物,327,0.6,97,132,220,227,231,299,398,445,472
2,7,1,2,4,0,215,魚介のつくだ煮,81,-4.7,6,11,7,36,37,51,59,152,194
2,7,1,2,4,0,216,魚介の缶詰,250,-10.4,167,212,239,200,310,243,305,254,257
2,7,1,2,4,0,217,他の魚介加工品のその他,316,7.8,186,273,276,369,336,372,320,310,276
2,5,1,3,0,0,0,肉類,9014,-2,6226,7422,8981,10351,12159,10407,10086,7870,6618
2,6,1,3,1,0,0,生鮮肉,7343,-2.3,4882,5939,7173,8544,10144,8684,8317,6320,5202
2,7,1,3,1,0,220,牛肉,2183,-5.5,928,1331,1695,2351,2699,2486,2743,2198,1850
2,7,1,3,1,0,221,豚肉,3074,-1.7,2209,2664,3090,3526,4347,3604,3417,2588,2150
2,7,1,3,1,0,222,鶏肉,1579,-0.3,1332,1477,1795,1998,2345,2003,1612,1161,939
2,7,1,3,1,0,22X,合いびき肉,253,-8.7,183,272,333,317,387,333,246,170,143
2,7,1,3,1,0,224,他の生鮮肉,253,17.1,230,195,261,353,366,259,299,204,121
2,6,1,3,2,0,0,加工肉,1671,-0.9,1344,1483,1808,1807,2015,1723,1768,1550,1416
2,7,1,3,2,0,225,ハム,496,-2.9,266,302,381,476,439,450,489,605,614
2,7,1,3,2,0,226,ソーセージ,625,-1.3,677,667,798,714,770,666,660,498,437
2,7,1,3,2,0,227,ベーコン,263,-4.7,177,249,310,269,348,255,306,236,212
2,7,1,3,2,0,229,他の加工肉,287,7.9,224,265,320,348,458,353,315,211,154
2,5,1,4,0,0,0,乳卵類,4618,-4.4,3436,4329,4559,4405,5177,5133,4485,4593,4442
2,6,1,4,1,0,230,牛乳,1381,-6,906,1321,1389,1383,1576,1446,1158,1421,1487
2,6,1,4,2,0,0,乳製品,2366,-4.6,1951,2245,2347,2148,2671,2761,2338,2296,2141
2,7,1,4,2,0,231,粉ミルク,75,-16.7,477,293,88,64,4,21,23,28,7
2,7,1,4,2,0,232,ヨーグルト,1269,-5.4,704,979,1236,1065,1352,1561,1165,1361,1309
2,7,1,4,2,0,233,バター,158,-7.6,95,122,153,148,184,171,184,156,156
2,7,1,4,2,0,234,チーズ,789,-0.5,618,752,786,816,1060,919,832,688,612
2,7,1,4,2,0,235,他の乳製品,76,-8.4,57,99,83,55,71,88,134,63,57
2,6,1,4,3,0,238,卵,871,-1.2,579,764,823,874,930,926,989,876,814
2,5,1,5,0,0,0,野菜・海藻,10782,-5.8,5875,7513,8607,9012,10811,10993,12222,12366,12100
2,6,1,5,1,0,0,生鮮野菜,7469,-6.4,4183,5399,6019,6424,7709,7741,8461,8392,8151
2,7,1,5,1,240-249,0,葉茎菜,2256,-8.3,1289,1678,1828,2010,2446,2415,2651,2438,2328
2,7,1,5,1,240-249,240,キャベツ,240,-15.2,156,180,221,225,261,258,285,248,236
2,7,1,5,1,240-249,241,ほうれんそう,204,-6.4,122,154,155,165,201,180,231,242,255
2,7,1,5,1,240-249,242,はくさい,100,-10.7,79,84,88,86,116,117,113,98,92
2,7,1,5,1,240-249,243,ねぎ,336,-7.9,220,242,273,290,391,390,393,345,310
2,7,1,5,1,240-249,244,レタス,257,-10.1,131,183,197,244,368,283,342,246,252
2,7,1,5,1,240-249,247,ブロッコリー,248,-6.8,149,219,217,245,273,268,237,263,266
2,7,1,5,1,240-249,245,もやし,88,-1.1,77,66,90,101,107,105,89,79,75
2,7,1,5,1,240-249,249,他の葉茎菜,784,-6.8,355,550,588,654,729,815,960,917,841
2,7,1,5,1,250-259 25X,0,根菜,1830,-3.7,1090,1332,1463,1524,1854,1796,2003,2110,2015
2,7,1,5,1,250-259 25X,250,さつまいも,101,1,64,77,66,79,92,70,112,129,129
2,7,1,5,1,250-259 25X,251,じゃがいも,283,2.9,166,207,250,276,329,294,307,298,271
2,7,1,5,1,250-259 25X,252,さといも,77,-2.5,18,26,39,39,52,56,92,116,122
2,7,1,5,1,250-259 25X,253,だいこん,157,-12.8,99,113,125,116,151,154,180,184,185
2,7,1,5,1,250-259 25X,254,にんじん,229,-10.5,216,248,211,223,236,224,219,232,217
2,7,1,5,1,250-259 25X,255,ごぼう,91,2.2,41,48,59,64,82,78,103,119,118
2,7,1,5,1,250-259 25X,256,たまねぎ,339,-3.1,261,294,310,322,413,369,358,334,314
2,7,1,5,1,250-259 25X,258,れんこん,100,1,52,56,94,72,98,95,106,119,107
2,7,1,5,1,250-259 25X,25X,たけのこ,87,1.2,23,33,48,53,70,95,115,115,103
2,7,1,5,1,250-259 25X,259,他の根菜,368,-4.9,151,231,261,281,331,362,412,463,449
2,7,1,5,1,260-269 26B 26X,0,他の野菜,3383,-6.5,1804,2388,2728,2890,3409,3530,3806,3845,3807
2,7,1,5,1,260-269 26B 26X,260,さやまめ,268,-2.2,75,153,146,154,243,247,338,360,318
2,7,1,5,1,260-269 26B 26X,261,かぼちゃ,164,-8.9,90,119,116,119,139,166,188,201,221
2,7,1,5,1,260-269 26B 26X,262,きゅうり,345,-12,156,205,254,276,323,329,360,432,435
