項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,夫婦のみの世帯／実数（円）,夫婦のみの世帯／構成比（％）,夫婦と未婚の子供から成る世帯／実数（円）,夫婦と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／実数（円）,一人親と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／実数（円）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／構成比（％）,その他／実数（円）,その他／構成比（％）,（再掲）夫婦共働き世帯／実数（円）,（再掲）夫婦共働き世帯／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,3797,-,4796,-,704,-,57,-,704,-,3756,-
0,0,0,0,0,調査世帯数,702,-,269,-,337,-,48,-,4,-,48,-,258,-
0,0,0,0,0,世帯人員,2.89,-,2,-,3.65,-,2.23,-,2.67,-,3.19,-,3.19,-
0,0,0,0,0,有業人員,1.35,-,0.9,-,1.75,-,1.03,-,0.67,-,1.39,-,2.17,-
0,0,0,0,0,世帯主平均年齢,59.1,-,66,-,52.2,-,68.5,-,50.8,-,58.6,-,50.3,-
2,2,0,0,0,生計支出,328864,-,268993,-,400841,-,200217,-,372952,-,290054,-,442280,-
2,3,0,0,0,消費支出,295796,100,268993,100,331884,100,200217,100,372952,100,290054,100,354246,100
2,4,1,0,0,食料,85833,29,76040,28.3,98402,29.6,56936,28.4,80108,21.5,81916,28.2,94972,26.8
2,5,1,1,0,穀類,6552,2.2,4991,1.9,8037,2.4,4459,2.2,6081,1.6,6952,2.4,6848,1.9
2,6,1,1,1,米類,1527,0.5,1019,0.4,1996,0.6,665,0.3,1020,0.3,1936,0.7,1574,0.4
2,6,1,1,2,パン,2829,1,2382,0.9,3237,1,2218,1.1,2671,0.7,3075,1.1,2951,0.8
2,6,1,1,3,麺類,1612,0.5,1196,0.4,2030,0.6,1256,0.6,1834,0.5,1370,0.5,1746,0.5
2,6,1,1,4,他の穀類,584,0.2,394,0.1,774,0.2,320,0.2,557,0.1,571,0.2,577,0.2
2,5,1,2,0,魚介類,6055,2,6120,2.3,6294,1.9,4221,2.1,1745,0.5,5904,2,5723,1.6
2,6,1,2,1,生鮮魚介,3547,1.2,3610,1.3,3678,1.1,2476,1.2,958,0.3,3374,1.2,3375,1
2,6,1,2,2,塩干魚介,1037,0.4,1020,0.4,1077,0.3,672,0.3,436,0.1,1221,0.4,1015,0.3
2,6,1,2,3,魚肉練製品,655,0.2,678,0.3,669,0.2,500,0.2,68,0,597,0.2,567,0.2
2,6,1,2,4,他の魚介加工品,816,0.3,812,0.3,870,0.3,572,0.3,283,0.1,712,0.2,766,0.2
2,5,1,3,0,肉類,8697,2.9,6545,2.4,10994,3.3,5504,2.7,10536,2.8,7858,2.7,9746,2.8
2,6,1,3,1,生鮮肉,7253,2.5,5480,2,9174,2.8,4516,2.3,9216,2.5,6458,2.2,8204,2.3
2,6,1,3,2,加工肉,1445,0.5,1065,0.4,1820,0.5,987,0.5,1320,0.4,1400,0.5,1542,0.4
2,5,1,4,0,乳卵類,4345,1.5,3682,1.4,5182,1.6,2736,1.4,6106,1.6,3836,1.3,4208,1.2
2,6,1,4,1,牛乳,1290,0.4,1029,0.4,1625,0.5,530,0.3,2198,0.6,1165,0.4,1247,0.4
2,6,1,4,2,乳製品,2246,0.8,1985,0.7,2614,0.8,1569,0.8,3369,0.9,1829,0.6,2181,0.6
2,6,1,4,3,卵,809,0.3,667,0.2,943,0.3,637,0.3,539,0.1,842,0.3,780,0.2
2,5,1,5,0,野菜・海藻,10345,3.5,10048,3.7,11201,3.4,7441,3.7,8407,2.3,9019,3.1,10051,2.8
2,6,1,5,1,生鮮野菜,7212,2.4,6889,2.6,7920,2.4,5184,2.6,6487,1.7,6163,2.1,7117,2
