実数・増減率,年次・四半期・月次コード,年次・四半期・月次,調査世帯数(世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,実収入（円）,実収入／経常収入（円）,実収入／経常収入／勤め先収入（円）,実収入／経常収入／勤め先収入／世帯主の定期収入（円）,実収入／経常収入／勤め先収入／世帯主の臨時収入・賞与（円）,実収入／経常収入／勤め先収入／配偶者・他の世帯員収入（円）,実収入／経常収入／事業・内職収入（円）,実収入／経常収入／他の経常収入（円）,実収入／特別収入（円）,実収入以外の受取(繰入金を除く)（円）,繰入金（円）,可処分所得（円）,貯蓄純増（円）,平均消費性向（％）,実支出（円）,実支出／生計支出（円）,実支出／生計支出／消費支出（円）,実支出／生計支出／消費支出／食料（円）,実支出／生計支出／消費支出／住居（円）,実支出／生計支出／消費支出／光熱・水道（円）,実支出／生計支出／消費支出／家具・家事用品（円）,実支出／生計支出／消費支出／被服及び履物（円）,実支出／生計支出／消費支出／保健医療（円）,実支出／生計支出／消費支出／交通・通信（円）,実支出／生計支出／消費支出／教育（円）,実支出／生計支出／消費支出／教養娯楽（円）,実支出／生計支出／消費支出／その他の消費支出（円）,実支出／生計支出／土地家屋購入（円）,実支出／その他の実支出（円）,実支出以外の支払(繰越金を除く)（円）,繰越金（円）
Jissu,nen,実数_平成29年平均,350,3.33,1.67,49.6,580063,573254,546946,408402,70602,67942,3879,22429,6810,463963,82623,467754,92563,77.9,482914,370605,364470,88082,27837,20449,12250,17369,13933,47120,32903,42284,62242,6135,112309,573319,70416
Jissu,nen,実数_平成30年平均,359,3.27,1.71,49.8,632404,626646,592054,409714,93973,88367,7671,26921,5757,467357,80231,503418,139831,70.3,483473,354487,353941,88365,26641,20830,11294,16722,14161,43335,34420,39168,59006,546,128986,632215,64304
Jissu,nen,実数_平成31年・令和元年平均,360,3.3,1.7,50.5,673468,662685,624865,420967,102068,101830,7518,30302,10783,512442,115365,539517,178892,66.8,501987,368036,360606,90551,26402,21172,12628,16768,15418,46350,32489,40890,57937,7430,133951,704476,94813
Jissu,nen,実数_令和 2年平均,365,3.3,1.71,49.4,701538,675758,639589,421611,101839,116139,6722,29447,25780,555528,155032,561620,183447,61.2,505201,365283,343451,93467,29225,20717,14511,13219,16441,39244,28602,34598,53428,21831,139918,772860,134038
Jissu,sihan,実数_令和元年10～12月,359,3.36,1.69,49.8,784778,776027,731542,433606,182702,115235,9526,34958,8751,503575,105002,637105,288587,54.9,497550,349876,349876,95400,29434,19202,12235,18731,15830,39647,26281,40678,52437,-,147673,808078,87728
Jissu,sihan,実数_令和 2年 1～ 3月,366,3.3,1.71,49.5,573686,562573,534043,424377,23952,85714,7542,20988,11114,573338,100005,460987,92756,72.7,485870,373171,335343,90399,27189,23483,13127,13625,15576,39087,24322,33732,54803,37827,112700,687078,74082
Jissu,sihan,実数_令和 2年 4～ 6月,363,3.3,1.7,49.4,730055,688690,643999,408110,129368,106521,3687,41004,41365,491105,138965,573246,233663,55.7,476180,319371,319371,87220,29953,21618,14668,9861,14677,39691,30005,27588,44090,-,156809,762125,121819
Jissu,sihan,実数_令和 2年 7～ 9月,361,3.34,1.71,49.5,659285,621992,594107,413964,67870,112273,7457,20427,37294,521442,161150,534539,157911,63.4,463757,339011,339011,94868,26230,18653,15188,12513,18450,37162,26693,36575,52680,-,124746,736406,141714
Jissu,sihan,実数_令和 2年10～12月,371,3.24,1.73,49.4,843125,829777,786208,439991,186167,160049,8202,35367,13349,636228,220009,677707,249459,56.1,594997,429578,380080,101380,33529,19112,15060,16879,17062,41036,33387,40496,62139,49498,165419,905829,198536
Jissu,tuki,実数_令和 2年 2月,370,3.28,1.72,49.7,570442,565677,505673,415708,10582,79383,10791,49214,4765,695193,92582,464947,101671,70.4,546441,440946,327464,88990,25830,24257,13209,11497,17909,37694,22622,35072,50384,113481,105495,742454,69323
Jissu,tuki,実数_令和 2年 3月,364,3.32,1.71,49.1,586958,575334,562216,431353,39259,91604,5293,7825,11624,534144,90441,464124,66425,71.6,455049,332215,332215,92809,31209,24418,12775,12822,14732,35674,24506,31669,51601,-,122834,686497,69997
Jissu,tuki,実数_令和 2年 4月,371,3.29,1.7,49.6,583275,576185,530062,412077,33963,84021,4147,41976,7090,481419,135989,471004,123045,69.9,441615,329344,329344,84030,30863,24104,10193,5013,15220,40455,52220,26772,40474,-,112271,644589,114479
Jissu,tuki,実数_令和 2年 5月,354,3.28,1.69,49.2,527280,510425,500075,404876,4418,90782,2960,7391,16855,481200,139351,401870,77426,75,426642,301232,301232,89219,26242,20083,13343,9026,13543,43183,20682,25217,40693,-,125410,597381,123808
Jissu,tuki,実数_令和 2年 6月,365,3.33,1.7,49.5,1079611,979461,901861,407378,349723,144761,3955,73645,100150,510695,141554,846864,500517,38.7,560284,327538,327538,88412,32753,20668,20469,15544,15268,35436,17112,30774,51103,-,232747,1044406,127170
Jissu,tuki,実数_令和 2年 7月,368,3.31,1.69,49.8,810215,720586,707094,407896,182756,116441,6627,6865,89629,510118,157798,660733,286472,50,479776,330295,330295,91528,25090,17842,17534,14917,21711,32527,20996,32184,55966,-,149481,865460,132895
Jissu,tuki,実数_令和 2年 8月,363,3.38,1.71,49,600926,588635,534026,414415,9605,110007,7862,46746,12291,511502,142805,490036,125283,68.2,444866,333977,333977,99175,30520,19713,14800,11458,17328,34561,14547,41525,50350,-,110889,687487,122879
Jissu,tuki,実数_令和 2年 9月,353,3.33,1.72,49.6,566715,556754,541202,419582,11250,110370,7881,7671,9962,542706,182847,452848,61978,77.9,466628,352760,352760,93902,23079,18404,13229,11164,16311,44397,44536,36015,51724,-,113868,656271,169368
Jissu,tuki,実数_令和 2年10月,367,3.31,1.73,49.5,636986,627436,563461,434245,8694,120522,9627,54348,9550,654808,208891,519007,185965,76.6,540592,422613,397492,96268,39427,19973,9900,17295,17274,48450,49459,39458,59989,25121,117979,788807,171286
Jissu,tuki,実数_令和 2年11月,372,3.24,1.73,49.3,602763,596643,574665,441398,11948,121320,9095,12882,6121,648522,203166,480756,-23205,74.2,594683,472676,356537,97337,30450,18654,16394,16608,18063,38819,24769,37839,57603,116140,122007,677394,182373
Jissu,tuki,実数_令和 2年12月,375,3.18,1.73,49.4,1289627,1265253,1220497,444331,537860,238306,5884,38872,24375,605354,247970,1033357,585618,37.4,649716,393446,386212,110534,30710,18709,18885,16734,15850,35839,25932,44192,68826,7233,256270,1251287,241949
Jissu,tuki,実数_令和 3年 1月,385,3.2,1.76,49.8,579517,569146,555178,432009,7361,115808,5026,8942,10371,548855,313655,464185,50275,71.4,506430,391099,331469,91722,29111,22116,16605,12875,16870,30827,20353,34507,56480,59630,115332,679005,256592
Jissu,tuki,実数_令和 3年 2月,389,3.17,1.77,49.8,634002,625646,567874,442938,13531,111404,5142,52630,8356,481361,283508,513787,159354,64.1,449744,329529,329529,88151,32828,23697,11381,11867,13980,36039,27962,29054,54570,-,120215,686365,262762
meimoku,nen,対前年（同期・同月）名目増加率_平成29年平均,-,-,-,-,-4.2,-4.4,-4.5,-0.9,-12.8,-14.7,-23,3.3,11.7,5.3,-17.5,-3.3,-17.6,-,0.4,3.2,2.1,-0.4,4.1,4.2,-0.4,-5.3,0.9,19.4,-3.8,2.7,-0.8,166.6,-7.7,-0.1,-23.2
meimoku,nen,対前年（同期・同月）名目増加率_平成30年平均,-,-,-,-,9,9.3,8.2,0.3,33.1,30.1,97.8,20,-15.5,0.7,-2.9,7.6,51.1,-,0.1,-4.3,-2.9,0.3,-4.3,1.9,-7.8,-3.7,1.6,-8,4.6,-7.4,-5.2,-91.1,14.8,10.3,-8.7
meimoku,nen,対前年（同期・同月）名目増加率_平成31年・令和元年平均,-,-,-,-,6.5,5.8,5.5,2.7,8.6,15.2,-2,12.6,87.3,9.6,43.8,7.2,27.9,-,3.8,3.8,1.9,2.5,-0.9,1.6,11.8,0.3,8.9,7,-5.6,4.4,-1.8,...,3.8,11.4,47.4
meimoku,nen,対前年（同期・同月）名目増加率_令和 2年平均,-,-,-,-,4.2,2,2.4,0.2,-0.2,14.1,-10.6,-2.8,139.1,8.4,34.4,4.1,2.5,-,0.6,-0.7,-4.8,3.2,10.7,-2.1,14.9,-21.2,6.6,-15.3,-12,-15.4,-7.8,193.8,4.5,9.7,41.4
meimoku,sihan,対前年（同期・同月）名目増加率_令和元年10～12月,-,-,-,-,10.9,11.1,11.6,9.6,16.1,12.4,7,2.8,-3.2,0.8,31.9,11,52.3,-,-0.3,-4.3,-4.3,3.7,5.2,0.6,9,0.1,16.9,-11.4,-21.7,0.3,-18.4,-,10.5,13.6,15.8
meimoku,sihan,対前年（同期・同月）名目増加率_令和 2年 1～ 3月,-,-,-,-,5.5,5.1,5.6,5.7,13.8,3,10.1,-8.4,37.4,18.3,-17.9,5.3,2.5,-,7.6,7.9,-2.7,6.5,29.5,-9.2,22.9,-22,3.7,-9.7,-20,-10.9,-5.6,...,6.7,14,-23
