年・期,西暦(年),四半期,男女計／1～29人（千人）,男女計／30～499人（千人）,男女計／500人以上（千人）,男／1～29人（千人）,男／30～499人（千人）,男／500人以上（千人）,女／1～29人（千人）,女／30～499人（千人）,女／500人以上（千人）
実数／平成17年平均,2005,,1805,1725,1629,1065,1005,983,740,720,646
実数／平成18年平均,2006,,1860,1826,1655,1076,1056,1003,784,769,652
実数／平成19年平均,2007,,1926,1919,1764,1120,1119,1109,806,800,654
実数／平成20年平均,2008,,1868,1950,1898,1076,1152,1194,792,798,704
実数／平成21年平均,2009,,1778,1885,1936,1026,1073,1215,752,812,721
実数／平成22年平均,2010,,1693,1912,1958,974,1083,1195,719,829,764
実数／平成23年平均,2011,,1783,1991,2045,1018,1112,1237,765,879,808
実数／平成19年４～６月平均,2007,04～06,1949,1950,1721,1134,1148,1081,815,802,640
実数／平成19年７～９月平均,2007,07～09,2051,1974,1680,1187,1125,1065,865,849,615
実数／平成19年10～12月平均,2007,10～12,1817,1929,1870,1054,1136,1171,762,793,699
実数／平成20年１～３月平均,2008,01～03,1807,1915,1969,1046,1160,1237,761,755,732
実数／平成20年４～６月平均,2008,04～06,1859,1991,1856,1064,1157,1159,795,834,696
実数／平成20年７～９月平均,2008,07～09,1897,1950,1840,1108,1133,1177,790,818,663
実数／平成20年10～12月平均,2008,10～12,1910,1943,1927,1086,1157,1203,824,786,724
実数／平成21年１～３月平均,2009,01～03,1789,1804,2045,1041,1040,1287,748,764,758
実数／平成21年４～６月平均,2009,04～06,1817,1891,1905,1035,1077,1188,782,814,717
実数／平成21年７～９月平均,2009,07～09,1735,1872,1965,992,1088,1242,743,784,723
実数／平成21年10～12月平均,2009,10～12,1769,1972,1827,1036,1087,1143,733,886,684
実数／平成22年１～３月平均,2010,01～03,1744,1838,1952,1018,1031,1183,725,807,769
実数／平成22年４～６月平均,2010,04～06,1756,1838,1943,994,1039,1175,761,799,769
実数／平成22年７～９月平均,2010,07～09,1577,1942,2043,897,1123,1275,680,819,768
実数／平成22年10～12月平均,2010,10～12,1695,2030,1894,985,1139,1147,710,891,748
実数／平成23年１～３月平均,2011,01～03,1802,1997,1999,1006,1093,1193,796,904,805
実数／平成23年４～６月平均,2011,04～06,1797,1979,2046,1024,1113,1226,773,866,819
