"年度[西暦]","種別","数量[種別に応じる]","価格[千円]"
"2013","公有財産 土地[平方メートル]","785165.90","625154479"
"2013","公有財産 建物[平方メートル]","641935.84","155336609"
"2013","公有財産 工作物",,"3716460"
"2013","公有財産 地上権等[平方メートル]",,
"2013","公有財産 有価証券",,"348000"
"2013","公有財産 出資による権利",,"1168941"
"2013","公有財産 特許権等",,"666"
"2013","物品[点]","1267",
"2013","債権",,"1163533"
"2013","基金",,"129423300"
"2014","公有財産 土地[平方メートル]","782287.12","640810820"
"2014","公有財産 建物[平方メートル]","720374.12","193125441"
"2014","公有財産 工作物",,"3590334"
"2014","公有財産 地上権等[平方メートル]",,
"2014","公有財産 有価証券",,"348000"
"2014","公有財産 出資による権利",,"1168941"
"2014","公有財産 特許権等",,"970"
"2014","物品[点]","1408",
"2014","債権",,"1181881"
"2014","基金",,"121016322"
"2015","公有財産 土地[平方メートル]","791911.89","653202050"
"2015","公有財産 建物[平方メートル]","702109.53","189551785"
"2015","公有財産 工作物",,"4691545"
"2015","公有財産 地上権等[平方メートル]","1964.70","10197"
"2015","公有財産 有価証券",,"348000"
"2015","公有財産 出資による権利",,"1158941"
"2015","公有財産 特許権等",,"764"
"2015","物品[点]","1353",
"2015","債権",,"1185203"
"2015","基金",,"128878902"
"2016","公有財産 土地[平方メートル]","800365.78","665658985"
"2016","公有財産 建物[平方メートル]","702127.00","183989804"
"2016","公有財産 工作物",,"4711726"
"2016","公有財産 地上権等[平方メートル]","1964.70","10197"
"2016","公有財産 有価証券",,"348000"
"2016","公有財産 出資による権利",,"1158941"
"2016","公有財産 特許権等",,"560"
"2016","物品[点]","1350",
"2016","債権",,"1180859"
"2016","基金",,"151409784"
"2017","公有財産 土地[平方メートル]","803536.34","673154939"
"2017","公有財産 建物[平方メートル]","711798.66","192036447"
"2017","公有財産 工作物",,"4563879"
"2017","公有財産 地上権等[平方メートル]","1964.70","10197"
"2017","公有財産 有価証券",,"348000"
"2017","公有財産 出資による権利",,"1158941"
"2017","公有財産 特許権等",,"502"
"2017","物品[点]","1392",
"2017","債権",,"1177593"
"2017","基金",,"153017889"

"平成30年度港区行政資料集　区有財産","Ver201803",,
