階層コード,地域コード,地域,人口総数／令和元年7月１日,人口総数／令和元年６月１日,人口総数／平成30年７月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,13813464,13812569,13716038,895,0.01,97426,0.71
1,13100,区部,9549337,9547751,9463073,1586,0.02,86264,0.91
1,13200,市部,4181697,4182308,4169509,-611,-0.01,12188,0.29
1,13300,郡部,56978,57036,57660,-58,-0.1,-682,-1.18
1,13350,島部,25452,25474,25796,-22,-0.09,-344,-1.33
,,,,,,,,,
住民基本台帳による世帯と人口_令和元年7月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
