階層コード,地域コード,地域,人口総数／令和元年12月１日,人口総数／令和元年11月１日,人口総数／平成30年12月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,13837261,13837033,13743053,228,0,94208,0.69
1,13100,区部,9572493,9571535,9488708,958,0.01,83785,0.88
1,13200,市部,4182587,4183241,4171203,-654,-0.02,11384,0.27
1,13300,郡部,56791,56857,57386,-66,-0.12,-595,-1.04
1,13350,島部,25390,25400,25756,-10,-0.04,-366,-1.42
,,,,,,,,,
住民基本台帳による世帯と人口_令和元年12月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
