階層コード,地域コード,地域,人口総数／平成31年2月１日,人口総数／平成31年１月１日,人口総数／平成30年2月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,13742014,13740732,13639750,1282,0.01,102264,0.75
1,13100,区部,9489730,9486618,9400235,3112,0.03,89495,0.95
1,13200,市部,4169329,4171067,4155663,-1738,-0.04,13666,0.33
1,13300,郡部,57254,57341,57842,-87,-0.15,-588,-1.02
1,13350,島部,25701,25706,26010,-5,-0.02,-309,-1.19
,,,,,,,,,
住民基本台帳による世帯と人口_平成31年2月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
