階層コード,地域コード,地域,人口総数／令和元年6月１日,人口総数／令和元年5月１日,人口総数／平成30年6月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,13812569,13804614,13714710,7955,0.06,97859,0.71
1,13100,区部,9547751,9541151,9461661,6600,0.07,86090,0.91
1,13200,市部,4182308,4180869,4169537,1439,0.03,12771,0.31
1,13300,郡部,57036,57098,57691,-62,-0.11,-655,-1.14
1,13350,島部,25474,25496,25821,-22,-0.09,-347,-1.34
,,,,,,,,,
住民基本台帳による世帯と人口_令和元年6月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
