階層コード,地域コード,地域,人口総数／令和元年9月１日,人口総数／令和元年8月１日,人口総数／平成30年9月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,13818934,13820953,13723199,-2019,-0.01,95735,0.7
1,13100,区部,9555490,9556618,9470225,-1128,-0.01,85265,0.9
1,13200,市部,4181017,4181885,4169666,-868,-0.02,11351,0.27
1,13300,郡部,56963,56988,57517,-25,-0.04,-554,-0.96
1,13350,島部,25464,25462,25791,2,0.01,-327,-1.27
,,,,,,,,,
住民基本台帳による世帯と人口_令和元年9月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
