階層コード,地域コード,地域,人口総数／令和元年8月１日,人口総数／令和元年7月１日,人口総数／平成30年8月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,13820953,13813464,13722612,7489,0.05,98341,0.72
1,13100,区部,9556618,9549337,9469260,7281,0.08,87358,0.92
1,13200,市部,4181885,4181697,4169930,188,0,11955,0.29
1,13300,郡部,56988,56978,57618,10,0.02,-630,-1.09
1,13350,島部,25462,25452,25804,10,0.04,-342,-1.33
,,,,,,,,,
住民基本台帳による世帯と人口_令和元年8月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
