"選挙名称","時現在","投票者数[人]","投票率[%]"
"平成28年7月31日執行　東京都知事選挙","8時現在","1844","0.96"
"平成28年7月31日執行　東京都知事選挙","9時現在","5010","2.60"
"平成28年7月31日執行　東京都知事選挙","10時現在","10276","5.33"
"平成28年7月31日執行　東京都知事選挙","11時現在","17561","9.10"
"平成28年7月31日執行　東京都知事選挙","12時現在","26145","13.55"
"平成28年7月31日執行　東京都知事選挙","13時現在","33972","17.60"
"平成28年7月31日執行　東京都知事選挙","14時現在","39991","20.72"
"平成28年7月31日執行　東京都知事選挙","15時現在","45772","23.72"
"平成28年7月31日執行　東京都知事選挙","16時現在","51577","26.73"
"平成28年7月31日執行　東京都知事選挙","17時現在","57599","29.85"
"平成28年7月31日執行　東京都知事選挙","18時現在","64750","33.55"
"平成28年7月31日執行　東京都知事選挙","19時現在","72539","37.59"
"平成28年7月31日執行　東京都知事選挙","20時終了(最終結果)","110738"," 57.38"

"平成28年7月31日執行　東京都知事選挙投票結果","Ver201607",,
