レンジ,基準,原単位(kg-CO2/m2)範囲,事業所数,平均面積(m2),平均原単位(kg-CO2/m2)
A4,0.55以下,200.9以下,75,416,365.1
A3+,0.55超-0.60以下,200.9超-219.1以下,50,432,365.1
A3,0.60超-0.65以下,219.1超-237.4以下,57,334,365.1
A3-,0.65超-0.70以下,237.4超-255.6以下,58,346,365.1
A2+,0.70超-0.75以下,255.6超-273.9以下,68,323,365.1
A2,0.75超-0.80以下,273.9超-292.1以下,87,286,365.1
A2-,0.80超-0.85以下,292.1超-310.4以下,77,281,365.1
A1+,0.85超-0.90以下,310.4超-328.6以下,68,279,365.1
A1,0.90超-0.95以下,328.6超-346.9以下,67,271,365.1
A1-,0.95超-1.00以下,346.9超-365.1以下,78,262,365.1
B2+,1.00超-1.05以下,365.1超-383.4以下,64,255,365.1
B2,1.05超-1.10以下,383.4超-401.7以下,46,234,365.1
B2-,1.10超-1.15以下,401.7超-419.9以下,41,249,365.1
B1,1.15超-1.50以下,419.9超-547.7以下,177,229,365.1
C,1.50超,547.7超,114,173,365.1
