年度,再生利用率（%）,減量化率（%）,最終処分率（%）
昭和57,21.9,59.4,18.7
昭和62,17.4,65.7,16.9
平成4　,15.9,68.4,15.8
平成10,9.6,83.4,7.0
平成15,23.6,56.2,20.2
平成16,24.0,57.8,18.2
平成17,16.1,70.0,14.0
平成18,21.9,62.0,16.1
平成19,28.0,60.4,11.6
平成20,24.2,58.3,17.4
平成21,19.1,68.5,12.4
平成22,40.5,40.1,19.5
平成23,29.6,44.6,25.8
平成24,31.6,44.4,24.0
平成25,47.1,44.5,8.4
平成26,49.0,40.7,10.2
平成27,50.3,40.8,9.0
平成28,50.9,40.4,8.7
