測定日,測定位置（高さ(m)）,No.1中防外側（μSv/h）,No.2中防外側（μSv/h）,No.3新海面（μSv/h）,No.4新海面（μSv/h）,No.5中防外側（μSv/h）,No.6中防外側（μSv/h）,No.7中防庁舎（μSv/h）
平成28年 3月30日,  0.5,0.07,0.07,0.06,0.05,0.06,0.03,0.03
平成28年 3月30日,  1.0,0.05,0.06,0.06,0.05,0.05,0.04,0.04
平成28年 3月23日,  0.5,0.07,0.07,0.06,0.05,0.05,0.03,0.03
平成28年 3月23日,  1.0,0.06,0.05,0.06,0.05,0.04,0.03,0.04
平成28年 3月16日,  0.5,0.06,0.06,0.06,0.06,0.05,0.03,0.03
平成28年 3月16日,  1.0,0.05,0.06,0.06,0.04,0.05,0.03,0.03
平成28年 3月9日,  0.5,0.07,0.06,0.06,0.05,0.06,0.06,0.04
平成28年 3月9日,  1.0,0.07,0.06,0.06,0.04,0.05,0.05,0.03
平成28年 3月2日,  0.5,0.06,0.07,0.06,0.05,0.06,0.05,0.03
平成28年 3月2日,  1.0,0.06,0.06,0.06,0.05,0.05,0.04,0.03
平成28年 2月24日,  0.5,0.06,0.06,0.06,0.05,0.05,0.04,0.03
平成28年 2月24日,  1.0,0.06,0.06,0.06,0.05,0.04,0.05,0.04
平成28年 2月17日,  0.5,0.06,0.06,0.06,0.05,0.05,0.04,0.03
平成28年 2月17日,  1.0,0.06,0.06,0.06,0.04,0.05,0.05,0.04
平成28年 2月10日,  0.5,0.07,0.06,0.06,0.05,0.04,0.05,0.04
平成28年 2月10日,  1.0,0.06,0.06,0.06,0.05,0.04,0.04,0.04
平成28年 2月3日,  0.5,0.06,0.06,0.06,0.05,0.04,0.04,0.03
平成28年 2月3日,  1.0,0.06,0.06,0.06,0.05,0.05,0.04,0.04
平成28年 1月27日,  0.5,0.05,0.05,0.06,0.05,0.06,0.03,0.03
平成28年 1月27日,  1.0,0.06,0.06,0.06,0.05,0.05,0.04,0.04
平成28年 1月20日,  0.5,0.06,0.06,0.06,0.04,0.05,0.04,0.04
平成28年 1月20日,  1.0,0.06,0.06,0.06,0.05,0.05,0.04,0.04
平成28年 1月13日,  0.5,0.06,0.06,0.06,0.05,0.05,0.04,0.04
平成28年 1月13日,  1.0,0.06,0.06,0.06,0.06,0.05,0.04,0.04
平成28年 1月6日,  0.5,0.07,0.07,0.06,0.06,0.04,0.04,0.03
平成28年 1月6日,  1.0,0.06,0.06,0.05,0.05,0.05,0.04,0.04
