項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位※1,1江戸川／金町取水点,2旧江戸川／浦安橋,3中川／平井小橋,4新中川／小岩大橋,5新川／新川橋,6隅田川／小台橋,7隅田川／両国橋,8新河岸川／志茂橋,9白子川／落合橋／,10石神井川／豊石橋,11神田川／柳橋,12日本橋川／西河岸橋,13横十間川／天神橋,14大横川／福寿橋,15北十間川／京成橋,16堅川／二之橋,17小名木川／進開橋,18旧中川／中平井橋,19古川／金杉橋,20目黒川／太鼓橋,21立会川／立会橋,22内川／富士見橋,23呑川／夫婦橋,24日原川／氷川小橋,25平井川／多西橋,26北秋川／西川橋,27谷地川／下田橋,28浅川／中央道／北浅川橋,29南浅川／横川橋,30湯殿川／春日橋,31大栗川／向ノ岡大橋,32野川／天神森橋,33恩田川／都橋,34境川／鶴間一号橋,35黒沢川／落合橋,36空堀川／梅坂橋,37黒目川／神宝大橋,38東京湾／St.5,39東京湾／St.6,40東京湾／St.8,41東京湾／St.22,42東京湾／St.23,43東京湾／St.25,44東京湾／St.32,45東京湾／St.35
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.30,0.10,1,pg/g,0,0,0,(0.10),2.1,1.6,2.1,0,(0.20),0,1.9,1.9,7.4,2.2,2.2,3.4,1,1.3,0,0,0.3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,(0.10),0,0.5,0.6,0.7,0.8,(0.20),0.6,0.4,0.8
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.30,0.10,-,pg/g,41,15,63,190,610,190,360,7.1,22,1.7,350,270,430,340,120,510,60,110,3.2,4.5,15,21,7.7,(0.20),6.3,0.7,8.4,0.3,2.4,3.5,4.4,2.1,2.4,3.7,2.4,12,2.7,140,320,620,570,40,310,97,450
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.30,0.10,-,pg/g,15,4.9,24,70,240,75,160,2.8,8.4,0.7,190,110,200,150,57,220,29,58,1.5,2,6.8,10,3.6,0,2.3,0.3,2.9,(0.10),1.2,1.2,1.7,1,1,1.3,0.8,4.8,1.1,57,130,250,220,17,120,38,180
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/g,58,21,90,270,910,290,580,11,35,3.3,590,440,730,560,190,830,110,200,7.3,11,33,72,19,0.2,10,1.2,13,0.5,6,5.6,7,4.1,4.7,6.5,4.7,23,5.1,220,490,910,840,68,460,160,680
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.30,0.10,1,pg/g,0.3,0,0.3,0.5,6.2,1.7,3.3,(0.20),0.4,(0.20),4.5,4.4,8.3,3.9,1.9,5.2,2,2.7,(0.20),0.3,1.1,2.2,0.4,0,(0.20),(0.10),(0.20),0,0.5,0,(0.10),0.3,(0.10),(0.20),0,0.9,0,1.4,2.2,2.7,3.5,0.7,2.2,1.5,3.5
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",0.30,0.10,-,pg/g,0.3,(0.10),0.3,0.7,9.5,2.6,5.8,0.3,0.8,(0.20),7.2,7.6,13,6.4,2.6,8.4,3.1,5.9,0.4,0.5,1.5,3.9,0.9,0,0.6,(0.10),0.3,0,0.6,(0.20),0.3,0.5,0.3,0.3,0.4,1.4,0.5,2.7,3.9,3.9,6.4,1.2,4.1,2.9,6.7
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/g,9.3,3.1,13,38,190,55,120,2.7,10,1.5,120,120,210,130,52,170,39,70,4.4,5.8,22,43,9.9,0,6,1.2,4.1,0,7,1.7,2.9,4.3,2.9,3.5,3.3,17,3.4,49,97,140,160,18,94,42,160
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.70,0.20,0.1,pg/g,(0.30),0,(0.40),0.9,8.5,2.2,4.9,0,(0.40),0,6.3,5.5,11,5,3,7.1,2.3,3.6,0,(0.30),1,1.9,(0.40),0,(0.20),0,0,0,(0.40),0,0,(0.20),0,(0.20),0,1,(0.30),1.8,3.2,4.3,5.4,0.7,3.5,1.8,5.3
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.70,0.20,0.1,pg/g,(0.60),(0.20),0.8,2.2,21,4.6,11,(0.20),0.8,0,19,13,76,14,8.9,21,12,14,(0.50),(0.50),1.9,3.9,0.9,0,(0.30),0,(0.40),0,(0.50),(0.30),(0.30),0.8,(0.20),(0.30),(0.30),2,(0.30),5.1,8.3,9.6,13,2.7,9.4,4,16
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.70,0.20,0.1,pg/g,(0.50),(0.20),0.7,1.7,15,3.7,8.7,(0.40),0.8,(0.50),9.8,9.9,31,10,5,14,6,7.9,(0.40),(0.60),1.6,3.7,0.9,0,(0.30),0,(0.30),0,(0.40),0,(0.30),(0.60),(0.30),(0.30),0,2,(0.30),3.7,5.9,7.2,8.4,2.1,6.2,3.6,12
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/g,6.1,2.5,7.6,19,260,56,130,4.7,12,4,230,160,630,160,85,220,100,160,5.2,7.4,25,59,14,0,7.1,1.2,4.1,0,8.6,2.1,3.6,8.5,3.2,4.1,3.8,29,4.2,61,91,110,150,31,100,55,190
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.70,0.20,0.01,pg/g,11,4.4,22,53,370,74,230,3.8,9.6,2.2,410,170,1300,290,190,430,480,300,3.3,6.6,22,49,12,(0.30),3.6,0.8,3.1,(0.50),5.7,3.5,3.6,4.8,2.1,3.2,3.6,19,2.4,120,200,220,420,75,260,74,460
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/g,23,9,44,110,960,150,460,9.1,19,6.7,960,350,2500,590,360,840,900,720,7.2,15,47,110,28,0.5,7.8,1.9,6.5,1.1,11,6.5,7.3,10,4.6,6.6,7.2,38,5,250,410,470,800,140,510,150,850
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,1.70,0.50,0.0003,pg/g,180,66,400,1100,6400,920,2900,44,98,21,4700,1800,11000,3500,2100,4900,11000,4500,23,52,170,390,130,2.1,41,4.8,33,9,32,57,35,35,15,34,44,100,15,1300,2500,2900,4400,820,2900,790,5800
