年度,汚泥（千t）,その他（千t）,上下水計（千t）
昭和57,10021,0,10021
昭和62,12592,0,12592
平成4　,13111,0,13111
平成10,12354,0,12354
平成15,12625,0,12625
平成16,13219,0,13219
平成17,13090,0,13090
平成18,13136,0,13136
平成19,13062,0,13062
平成20,13084,0,13084
平成21,14286,0,14286
平成22,13877,0,13877
平成23,14483,0,14483
平成24,13777,2,13779
平成25,13535,3,13538
平成26,13101,1,13102
平成27,12031,1,12032
平成28,14675,1,14676
平成29,14828,8,14836
