年度,再生利用量（千t）,減量化量（千t）,最終処分量（千t）,排出量（千t）
昭和57,34,9387,600,10021
昭和62,27,12178,389,12594
平成4　,51,12698,362,13111
平成10,64,12058,232,12354
平成15,49,12543,33,12625
平成16,69,13118,31,13219
平成17,72,12929,90,13090
平成18,73,13035,28,13136
平成19,74,12960,27,13062
平成20,45,13010,29,13084
平成21,150,14114,22,14286
平成22,326,13534,17,13877
平成23,44,14346,93,14483
平成24,46,13629,104,13779
平成25,12,13437,89,13538
平成26,21,13033,48,13102
平成27,18,11969,45,12032
平成28,26,14619,31,14676
平成29,25,14773,38,14836
