№,団体名等,施設名称,施設所在地,緯度,経度,座標系,測定内容／月日,測定内容／項目,測定結果／単位,測定結果／セシウム134,測定結果／セシウム137,測定結果／セシウム合計,測定結果／空間放射線量
1,東京二十三区清掃一部事務組合,中央清掃工場,中央区晴海5-2-1,35.652134,139.775604,JGD2011,7月19日,飛灰,Bq/kg,871,975,1846,
1,東京二十三区清掃一部事務組合,中央清掃工場,中央区晴海5-2-1,35.652134,139.775604,JGD2011,7月5日,焼却灰,Bq/kg,71,70,141,
1,東京二十三区清掃一部事務組合,中央清掃工場,中央区晴海5-2-1,35.652134,139.775604,JGD2011,7月19日,排ガス,Bq/m3,不検出,不検出,不検出,
1,東京二十三区清掃一部事務組合,中央清掃工場,中央区晴海5-2-1,35.652134,139.775604,JGD2011,7月22日,敷地境界,μSv/h,,,,0.18
2,東京二十三区清掃一部事務組合,港清掃工場,港区港南5-7-1,35.631493,139.756073,JGD2011,7月21日,飛灰,Bq/kg,978,1070,2048,
2,東京二十三区清掃一部事務組合,港清掃工場,港区港南5-7-1,35.631493,139.756073,JGD2011,7月8日,焼却灰,Bq/kg,71,73,144,
2,東京二十三区清掃一部事務組合,港清掃工場,港区港南5-7-1,35.631493,139.756073,JGD2011,7月12日,排ガス,Bq/m3,不検出,不検出,不検出,
2,東京二十三区清掃一部事務組合,港清掃工場,港区港南5-7-1,35.631493,139.756073,JGD2011,7月26日,敷地境界,μSv/h,,,,0.16
3,東京二十三区清掃一部事務組合,北清掃工場,北区志茂1-2-36,35.775730,139.731857,JGD2011,7月23日,飛灰,Bq/kg,805,971,1776,
3,東京二十三区清掃一部事務組合,北清掃工場,北区志茂1-2-36,35.775730,139.731857,JGD2011,7月23日,焼却灰,Bq/kg,76,85,161,
3,東京二十三区清掃一部事務組合,北清掃工場,北区志茂1-2-36,35.775730,139.731857,JGD2011,7月25日,排ガス,Bq/m3,不検出,不検出,不検出,
3,東京二十三区清掃一部事務組合,北清掃工場,北区志茂1-2-36,35.775730,139.731857,JGD2011,7月25日,敷地境界,μSv/h,,,,0.19
4,東京二十三区清掃一部事務組合,品川清掃工場,品川区八潮1-4-1,35.608780,139.753891,JGD2011,7月20日,飛灰,Bq/kg,565,657,1222,
4,東京二十三区清掃一部事務組合,品川清掃工場,品川区八潮1-4-1,35.608780,139.753891,JGD2011,7月6日,焼却灰,Bq/kg,138,135,273,
4,東京二十三区清掃一部事務組合,品川清掃工場,品川区八潮1-4-1,35.608780,139.753891,JGD2011,7月15日,排ガス,Bq/m3,不検出,不検出,不検出,
4,東京二十三区清掃一部事務組合,品川清掃工場,品川区八潮1-4-1,35.608780,139.753891,JGD2011,7月26日,敷地境界,μSv/h,,,,0.16
5,東京二十三区清掃一部事務組合,目黒清掃工場,目黒区三田2-19-43,35.637733,139.707550,JGD2011,7月21日,飛灰,Bq/kg,1230,1350,2580,
5,東京二十三区清掃一部事務組合,目黒清掃工場,目黒区三田2-19-43,35.637733,139.707550,JGD2011,7月8日,焼却灰,Bq/kg,62,76,138,
5,東京二十三区清掃一部事務組合,目黒清掃工場,目黒区三田2-19-43,35.637733,139.707550,JGD2011,7月15日,排ガス,Bq/m3,不検出,不検出,不検出,
5,東京二十三区清掃一部事務組合,目黒清掃工場,目黒区三田2-19-43,35.637733,139.707550,JGD2011,7月27日,敷地境界,μSv/h,,,,0.14
6,東京二十三区清掃一部事務組合,大田清掃工場,大田区京浜島3-6-1,35.573784,139.767761,JGD2011,7月20日,飛灰,Bq/kg,1880,2010,3890,
6,東京二十三区清掃一部事務組合,大田清掃工場,大田区京浜島3-6-1,35.573784,139.767761,JGD2011,7月7日,焼却灰,Bq/kg,121,133,254,
6,東京二十三区清掃一部事務組合,大田清掃工場,大田区京浜島3-6-1,35.573784,139.767761,JGD2011,7月11日,排ガス,Bq/m3,不検出,不検出,不検出,
6,東京二十三区清掃一部事務組合,大田清掃工場,大田区京浜島3-6-1,35.573784,139.767761,JGD2011,7月21日,敷地境界,μSv/h,,,,0.16
