レンジ,基準,原単位(kg-CO2/m2)範囲,事業所数,平均面積(m2),平均原単位(kg-CO2/m2)
A4,0.55以下,68.7以下,14,849,124.8
A3+,0.55超-0.60以下,68.7超-74.9以下,7,1497,124.8
A3,0.60超-0.65以下,74.9超-81.2以下,7,1191,124.8
A3-,0.65超-0.70以下,81.2超-87.4以下,6,1038,124.8
A2+,0.70超-0.75以下,87.4超-93.6以下,5,1337,124.8
A2,0.75超-0.80以下,93.6超-99.9以下,9,1144,124.8
A2-,0.80超-0.85以下,99.9超-106.1以下,14,996,124.8
A1+,0.85超-0.90以下,106.1超-112.4以下,12,881,124.8
A1,0.90超-0.95以下,112.4超-118.6以下,11,972,124.8
A1-,0.95超-1.00以下,118.6超-124.8以下,8,651,124.8
B2+,1.00超-1.05以下,124.8超-131.1以下,16,817,124.8
B2,1.05超-1.10以下,131.1超-137.3以下,10,887,124.8
B2-,1.10超-1.15以下,137.3超-143.6以下,6,1249,124.8
B1,1.15超-1.50以下,143.6超-187.2以下,32,713,124.8
C,1.50超,187.2超,11,1308,124.8
