一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),等価騒音ﾚﾍﾞﾙ(Leq)／昼間(dB),等価騒音ﾚﾍﾞﾙ(Leq)／夜間(dB)
1,千代田区神田神保町2-15,35.696636,139.756454,JGD2011,都道白山祝田田町線(白山通り),c,2007-06-05,2007-06-12,4,6,8.8,1.5,72,70
2,千代田区麹町6-2,35.685215,139.733078,JGD2011,国道２０号(新宿通り),c,2007-06-05,2007-06-07,3,6,6.9,1.5,68,66
3,千代田区九段南1-1,35.693378,139.754913,JGD2011,都道麹町竹平線(内堀通り),b,2007-07-10,2007-07-12,4,4,1.7,1.5,67,65
4,千代田区飯田橋4-5-14,35.700676,139.747147,JGD2011,都道千代田練馬田無線(目白通り),c,2007-07-10,2007-07-12,4,5,4.4,1.5,71,70
5,千代田区平河町2-5-1,35.680115,139.739044,JGD2011,区道２２０号(プリンス通り),b,2007-07-10,2007-07-12,6,2,1.9,1.5,66,63
6,千代田区九段南3-8-14,35.692753,139.742584,JGD2011,都道新宿両国線(靖国通り),c,2007-10-02,2007-10-04,4,5,4.5,1.5,69,66
7,千代田区神田須田町1-3,35.696018,139.769287,JGD2011,都道新宿両国線(靖国通り),c,2007-10-02,2007-10-04,4,6,6.0,1.5,69,67
8,千代田区東神田2-10-18,35.695621,139.780716,JGD2011,都道新宿両国線(靖国通り),c,2007-10-02,2007-10-04,4,6,6.0,1.5,71,69
9,千代田区神田神保町1-42,35.697716,139.757797,JGD2011,都道白山祝田田町線(白山通り),c,2007-11-06,2007-11-13,4,5,4.2,1.5,69,68
10,千代田区一ﾂ橋2-3,35.694153,139.758224,JGD2011,都道白山祝田田町線(白山通り),c,2007-11-13,2007-11-15,4,5,4.5,1.5,67,65
11,千代田区神田神保町2-15,35.696636,139.756454,JGD2011,都道白山祝田田町線(白山通り),c,2007-11-06,2007-11-13,4,6,8.8,1.5,72,70
12,千代田区神田岩本町15,35.696655,139.775024,JGD2011,国道４号(日光街道),c,2007-11-06,2007-11-13,3,7,7.0,1.5,71,70
13,千代田区(旧)和泉橋出張所4階,35.697285,139.774338,JGD2011,首都高速１号上野線,c,2007-11-06,2007-11-13,2,4,18.2,13.6,73,71
14,千代田区神田錦町3-18,35.693203,139.761337,JGD2011,区道１０１号(千代田通り),c,2008-02-05,2008-02-07,5,4,4.0,1.5,69,67
15,千代田区内神田1-1,35.689434,139.765686,JGD2011,都道錦町有楽町線,c,2008-02-05,2008-02-07,4,6,4.6,1.5,68,66
16,千代田区神田鍛冶町3-6,35.694111,139.771072,JGD2011,国道１７号(中央通り),c,2008-02-05,2008-02-07,3,5,4.3,1.5,67,64
17,千代田区神田神保町1-42,35.697716,139.757797,JGD2011,都道白山祝田田町線（白山通り）,C,2007-11-13,2007-11-14,4,6,0.0,1.2,69,68
18,千代田区九段南3-8,35.692753,139.742584,JGD2011,都道新宿両国線（靖国通り）,C,2007-10-02,2007-10-03,4,4,0.0,1.2,70,66
19,千代田区神田須田町1-3,35.696018,139.769287,JGD2011,都道新宿両国線,C,2007-10-02,2007-10-03,4,6,0.0,1.2,69,67
20,千代田区外神田2-2,35.699581,139.767685,JGD2011,都道外濠環状線（外堀通り）,B,2007-12-03,2007-12-04,4,2,3.7,1.2,70,67
21,千代田区岩本町2-8,35.692696,139.776596,JGD2011,区道千第６１９号（神田金物通り）,C,2007-12-03,2007-12-04,5,5,3.7,1.2,67,66
22,千代田区西神田3-5,35.698345,139.753006,JGD2011,区道千第３０３号(専大通り）,C,2007-12-03,2007-12-04,5,6,4.4,1.2,66,66
