レンジ,基準,原単位(kg-CO2/m2)範囲,事業所数,平均面積(m2),平均原単位(kg-CO2/m2)
A4,0.55以下,212.9以下,99,5249,387.0
A3+,0.55超-0.60以下,212.9超-232.2以下,28,2717,387.0
A3,0.60超-0.65以下,232.2超-251.6以下,36,2612,387.0
A3-,0.65超-0.70以下,251.6超-270.9以下,47,2313,387.0
A2+,0.70超-0.75以下,270.9超-290.3以下,30,2093,387.0
A2,0.75超-0.80以下,290.3超-309.6以下,34,1702,387.0
A2-,0.80超-0.85以下,309.6超-329.0以下,33,1757,387.0
A1+,0.85超-0.90以下,329.0超-348.3以下,37,1714,387.0
A1,0.90超-0.95以下,348.3超-367.7以下,22,1187,387.0
A1-,0.95超-1.00以下,367.7超-387.0以下,21,933,387.0
B2+,1.00超-1.05以下,387.0超-406.4以下,30,676,387.0
B2,1.05超-1.10以下,406.4超-425.7以下,24,933,387.0
B2-,1.10超-1.15以下,425.7超-445.1以下,30,492,387.0
B1,1.15超-1.50以下,445.1超-580.5以下,129,450,387.0
C,1.50超,580.5超,94,303,387.0
