年度,区分,集計数(事業所),平均値(MJ/m2),上位25%(MJ/m2)
基準年度,01 事務所,271,2816,2189
基準年度,02 情報通信,17,14829,8780
基準年度,03 放送局,3,6029,-
基準年度,04 商業,106,3654,2776
基準年度,05 宿泊,25,3456,3111
基準年度,06 教育,56,1452,1106
基準年度,07 医療,56,3444,3219
基準年度,08 文化,12,2528,1913
基準年度,09 物流,18,1680,1154
基準年度,10 熱供給業,54,785,612
2014,01 事務所,338,2009,1525
2014,02 情報通信,29,14355,8187
2014,03 放送局,4,4192,-
2014,04 商業,136,2718,1980
2014,05 宿泊,30,2880,2574
2014,06 教育,65,1197,939
2014,07 医療,64,2824,2502
2014,08 文化,17,2199,1648
2014,09 物流,20,1347,821
2014,10 熱供給業,56,529,377
2015,01 事務所,324,1949,1491
2015,02 情報通信,32,13436,8588
2015,03 放送局,4,4114,-
2015,04 商業,125,2684,1887
2015,05 宿泊,29,2837,2541
2015,06 教育,67,1183,904
2015,07 医療,65,2823,2529
2015,08 文化,18,2130,1631
2015,09 物流,19,1264,791
2015,10 熱供給業,55,537,367
2016,01 事務所,321,1840,1460
2016,02 情報通信,40,14173,8957
2016,03 放送局,4,3457,-
2016,04 商業,121,2606,1848
2016,05 宿泊,29,2880,2517
2016,06 教育,65,1182,890
2016,07 医療,61,2796,2534
2016,08 文化,17,2057,1679
2016,09 物流,21,1382,863
2016,10 熱供給業,54,542,370
2017,01 事務所,318,1814,1441
2017,02 情報通信,45,13134,8453
2017,03 放送局,3,3268,-
2017,04 商業,121,2537,1835
2017,05 宿泊,29,2836,2541
2017,06 教育,65,1192,914
2017,07 医療,66,2815,2511
2017,08 文化,17,2002,1653
2017,09 物流,21,1297,740
2017,10 熱供給業,53,517,365
2018,01 事務所,317,1782,1441
2018,02 情報通信,43,14659,8953
2018,03 放送局,3,3233,-
2018,04 商業,122,2511,1806
2018,05 宿泊,28,2789,2446
2018,06 教育,65,1175,894
2018,07 医療,62,2736,2467
2018,08 文化,17,2044,1659
2018,09 物流,20,1296,840
2018,10 熱供給業,58,531,377
