項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,1江戸川／金町取水点,2旧江戸川／浦安橋,3中川／平井小橋,4新中川／小岩大橋,5新川／新川橋,6隅田川／小台橋,7隅田川／両国橋,8新河岸川／志茂橋,9白子川／落合橋／,10石神井川／豊石橋,11神田川／柳橋,12日本橋川／西河岸橋,13横十間川／天神橋,14大横川／福寿橋,15北十間川／京成橋,16堅川／二之橋,17小名木川／進開橋,18旧中川／中平井橋,19古川／金杉橋,20目黒川／太鼓橋,21立会川／立会橋,22内川／富士見橋,23呑川／夫婦橋,24日原川／氷川小橋,25平井川／多西橋,26北秋川／西川橋,27谷地川／下田橋,28浅川／中央道／北浅川橋,29南浅川／横川橋,30湯殿川／春日橋,31大栗川／向ノ岡大橋,32野川／天神森橋,33恩田川／都橋,34境川／鶴間一号橋,35黒沢川／落合橋,36空堀川／梅坂橋,37黒目川／神宝大橋,38東京湾／St.5,39東京湾／St.6,40東京湾／St.8,41東京湾／St.22,42東京湾／St.23,43東京湾／St.25,44東京湾／St.32,45東京湾／St.35
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.10,0.03,1,pg/ｌ,0,0,(0.03),0,(0.03),0.1,(0.05),0,0,0,0,0,0,0,0,(0.03),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.10,0.03,-,pg/ｌ,12,17,51,34,16,14,9.6,7.1,8.9,2.8,1.7,0.47,2,2,2.9,6.2,0.67,0.86,0.2,(0.08),0.13,0.47,0.16,0.17,3.6,0.14,1.4,0.6,0.27,1.7,2.1,0.21,0.16,1,0.53,0.16,0.41,0.5,0.37,4,2,0.31,0.31,0.29,0.63
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.10,0.03,-,pg/ｌ,4.2,6.2,18,11,5.7,5.4,3.6,2.5,3.7,1.1,0.64,0.18,0.76,0.79,1.1,2.5,0.24,0.35,(0.09),0,(0.06),0.2,(0.07),(0.09),1.2,(0.06),0.51,0.22,(0.09),0.55,0.76,(0.08),(0.08),0.38,0.25,(0.09),0.17,0.21,0.15,1.7,0.76,0.12,0.13,0.11,0.25
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/ｌ,17,25,73,48,23,22,15,12,14,4.8,5.2,2.3,3.7,3.6,5,9.9,1.2,1.6,2.6,2.1,0.33,2.2,2.2,0.68,4.9,0.2,2.3,1.4,0.43,2.9,3.2,1,0.49,2.1,1.2,0.54,0.8,0.93,0.7,6,2.9,0.9,0.62,0.66,0.95
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.10,0.03,1,pg/ｌ,(0.05),(0.09),0.16,(0.09),0.1,0.11,(0.06),(0.04),(0.08),0,0,0,0,0,0,0,0,0,0,0,0,(0.03),0,0.26,0,0,0,0,(0.03),(0.05),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",0.10,0.03,-,pg/ｌ,(0.07),0.12,0.19,0.13,0.18,0.16,0.16,(0.05),(0.08),(0.06),(0.04),(0.04),0.12,0,0,0.15,0,0.11,(0.05),0,0,(0.06),0,0.22,0,0,0,0,(0.03),(0.03),0,0,0,0,(0.04),0,(0.03),0,0,0,0,0,0,0,0
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/ｌ,2.4,4,10,5.8,3.8,3.8,2.6,1.5,2.6,0.84,0.71,0.3,0.74,0.49,0.8,1.9,0.22,0.44,0.31,0.11,0,0.54,0.31,1.9,0.71,0,0.42,0,0.45,0.63,0.4,0,0,0.4,0.46,0,0.33,0.15,0.11,1.1,0.59,0.15,0.09,0.15,0.16
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.20,0.06,0.1,pg/ｌ,(0.09),(0.11),0.28,(0.16),(0.16),(0.11),(0.08),0,(0.08),0,0,0,0,0,0,(0.08),0,0,0,0,0,0,0,(0.11),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.20,0.06,0.1,pg/ｌ,(0.16),0.23,0.58,0.41,0.31,0.28,0.2,(0.13),(0.16),0,0,0,0.22,(0.11),(0.16),0.26,(0.06),(0.12),0,0,0,(0.07),0,(0.14),(0.06),0,(0.06),0,(0.06),(0.06),0,0,0,0,(0.10),0,(0.06),0,0,(0.10),0,0,0,0,0
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.20,0.06,0.1,pg/ｌ,(0.18),0.23,0.51,0.28,0.3,0.24,(0.19),(0.11),(0.17),(0.08),0,0,0,(0.07),(0.14),(0.14),0,0,0,0,0,(0.07),0,(0.12),0,0,0,0,0,(0.06),0,0,0,0,(0.07),0,0,0,0,(0.08),(0.08),0,0,0,0
