業種,平成28年度（%）,平成29年度（%）
合計,2.2,2.1
建設業,3.8,3.9
製造業,8.7,7.7
上下水道業,0.2,0.3
農業，林業,0.0,0.0
電気・ガス・熱供給業,42.3,15.8
情報通信業,0.0,5.6
運輸業,6.1,5.9
卸売業，小売業,3.9,6.0
不動産業，物品賃貸業,14.0,10.3
学術研究，専門・技術サービス業,6.5,9.1
宿泊業，飲食サービス業,11.5,12.0
生活関連サービス業，娯楽業,25.0,0.0
教育，学習支援業,19.2,15.4
医療，福祉,6.8,3.3
サービス業,20.0,10.5
自動車整備業,0.0,0.0
