No.,区市町村名,可燃ごみ,不燃ごみ,粗大ごみ,資源ごみ,有害ごみ,合計
1,千代田区,15353,644,495,3997,0,20489
2,中央区,32272,1470,1307,6633,0,41682
3,港区,49754,1780,1906,15618,0,69057
4,新宿区,67924,2861,2376,13973,0,87134
5,文京区,40510,1692,1283,8233,0,51719
6,台東区,41263,2877,1315,6291,0,51746
7,墨田区,51696,1962,1752,7321,0,62730
8,江東区,91153,3332,2962,15928,0,113375
9,品川区,68010,2945,1955,15472,0,88381
10,目黒区,49759,2426,2367,6873,0,61425
11,大田区,128121,5033,3427,21681,0,158263
12,世田谷区,166751,5428,6144,37894,0,216217
13,渋谷区,49576,2192,1393,10796,0,63957
14,中野区,56545,2374,1745,7435,0,68098
15,杉並区,93087,3539,3535,31563,0,131725
16,豊島区,53503,2246,1935,11654,0,69338
17,北区,63945,2347,1710,12316,0,80318
18,荒川区,41867,1889,1279,259,0,45294
19,板橋区,104497,3632,3114,13869,0,125112
20,練馬区,124227,5247,3958,31197,0,164629
21,足立区,132887,323,2633,15423,0,151266
22,葛飾区,80837,3693,2841,17278,0,104648
23,江戸川区,124108,4861,3738,20366,0,153073
24,八王子市,119851,7273,2246,33731,213,163314
25,立川市,32608,1992,1214,12506,55,48375
26,武蔵野市,26817,1129,1477,10865,90,40378
27,三鷹市,27997,1891,1767,14392,59,46106
28,青梅市,28181,1491,1439,7431,56,38598
29,府中市,37399,3482,1932,15609,89,58511
30,昭島市,21534,1376,915,6778,45,30648
31,調布市,32005,3664,1486,19110,81,56346
32,町田市,87576,6358,4585,17324,152,115995
33,小金井市,12577,3708,908,7981,37,25211
34,小平市,33092,4993,1028,9797,68,48978
35,日野市,26767,5527,1380,9403,60,43137
36,東村山市,24585,2013,1344,8986,58,36986
37,国分寺市,16798,1719,770,9016,48,28351
38,国立市,14471,1725,577,4534,25,21332
39,福生市,11122,573,502,4053,27,16277
40,狛江市,13109,929,403,4533,20,18994
41,東大和市,15387,924,247,5106,25,21689
42,清瀬市,12509,1403,68,4188,28,18196
43,東久留米市,21800,2164,112,6050,35,30161
44,武蔵村山市,14538,1057,341,4549,27,20512
45,多摩市,31927,1039,1082,6956,50,41054
46,稲城市,16545,1216,375,3324,29,21489
47,羽村市,11441,389,570,4387,23,16810
48,あきる野市,18266,360,601,4616,34,23877
49,西東京市,30915,3418,157,13998,57,48545
50,瑞穂町,8132,329,419,2713,18,11611
51,日の出町,4181,84,114,655,5,5039
52,檜原村,604,11,42,196,0,853
53,奥多摩町,1449,60,131,176,7,1823
54,大島町,3186,184,101,296,6,3773
55,利島村,94,4,0,12,0,110
56,新島村,1134,517,4,43,0,1698
57,神津島村,892,72,964,22,0,1950
58,三宅村,1170,127,284,79,0,1660
59,御蔵島村,214,4,14,4,1,237
60,八丈町,3227,105,0,654,3,3989
61,青ヶ島村,76,20,0,23,0,119
62,小笠原村,665,0,33,409,25,1132
