測定日,測定位置（高さ(m)）,No.1中防外側（μSv/h）,No.2中防外側（μSv/h）,No.3新海面（μSv/h）,No.4新海面（μSv/h）,No.5中防外側（μSv/h）,No.6中防外側（μSv/h）,No.7中防庁舎（μSv/h）
平成27年 9月24日,  0.5,0.06,0.07,0.07,0.06,0.06,0.04,0.04
平成27年 9月24日,  1.0,0.06,0.07,0.07,0.05,0.05,0.04,0.04
平成27年 9月16日,  0.5,0.06,0.06,0.07,0.06,0.05,0.03,0.03
平成27年 9月16日,  1.0,0.06,0.06,0.06,0.05,0.05,0.05,0.04
平成27年 9月9日,  0.5,0.07,0.06,0.07,0.07,0.06,0.04,0.03
平成27年 9月9日,  1.0,0.07,0.07,0.07,0.05,0.05,0.05,0.03
平成27年 9月2日,  0.5,0.08,0.07,0.07,0.07,0.05,0.05,0.04
平成27年 9月2日,  1.0,0.07,0.06,0.06,0.06,0.05,0.05,0.03
平成27年 8月26日,  0.5,0.07,0.07,0.06,0.06,0.05,0.04,0.03
平成27年 8月26日,  1.0,0.07,0.07,0.06,0.05,0.05,0.05,0.04
平成27年 8月19日,  0.5,0.07,0.07,0.07,0.05,0.06,0.05,0.04
平成27年 8月19日,  1.0,0.06,0.07,0.07,0.06,0.05,0.05,0.03
平成27年 8月12日,  0.5,0.06,0.06,0.06,0.05,0.03,0.02,0.02
平成27年 8月12日,  1.0,0.06,0.05,0.06,0.05,0.03,0.03,0.02
平成27年 8月5日,  0.5,0.06,0.07,0.06,0.05,0.04,0.05,0.03
平成27年 8月5日,  1.0,0.06,0.05,0.06,0.05,0.04,0.04,0.03
平成27年 7月29日,  0.5,0.06,0.06,0.05,0.05,0.05,0.05,0.03
平成27年 7月29日,  1.0,0.06,0.06,0.05,0.04,0.04,0.04,0.03
平成27年 7月22日,  0.5,0.06,0.05,0.06,0.05,0.05,0.03,0.02
平成27年 7月22日,  1.0,0.06,0.05,0.06,0.04,0.04,0.03,0.03
平成27年 7月15日,  0.5,0.05,0.06,0.06,0.04,0.04,0.03,0.02
平成27年 7月15日,  1.0,0.05,0.05,0.06,0.04,0.04,0.03,0.03
平成27年 7月8日,  0.5,0.06,0.06,0.06,0.05,0.04,0.04,0.03
平成27年 7月8日,  1.0,0.06,0.05,0.06,0.05,0.04,0.04,0.03
平成27年 7月1日,  0.5,0.07,0.07,0.07,0.07,0.07,0.06,0.03
平成27年 7月1日,  1.0,0.08,0.07,0.07,0.07,0.07,0.06,0.03
