一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),等価騒音ﾚﾍﾞﾙ(Leq)／昼間(dB),等価騒音ﾚﾍﾞﾙ(Leq)／夜間(dB)
1,千代田区神田神保町2-15,35.696636,139.756454,JGD2011,白山祝田田町線（白山通り）,c,2002-06-04,2002-06-11,4,6,8.8,1.5,71,69
2,千代田区麹町6-2,35.685215,139.733078,JGD2011,国道２０号（新宿通り）,c,2002-06-04,2002-06-06,3,6,6.9,1.5,71,69
3,千代田区九段南1-1,35.693378,139.754913,JGD2011,麹町竹平線（内堀通り）,b,2002-07-23,2002-07-25,4,4,1.7,1.5,72,70
4,千代田区飯田橋4-5-14,35.700676,139.747147,JGD2011,千代田練馬田町線（目白通り）,c,2002-07-23,2002-07-25,4,5,4.4,1.5,71,70
5,千代田区平河町2-5-2,35.680115,139.739044,JGD2011,区道１８８号（貝坂通り）,b,2002-07-23,2002-07-25,6,2,1.9,1.5,64,61
6,千代田区九段南3-8-14,35.692753,139.742584,JGD2011,新宿両国線（靖国通り）,c,2002-09-10,2002-09-12,4,5,4.5,1.5,68,66
7,千代田区神田須田町1-3,35.696018,139.769287,JGD2011,新宿両国線（靖国通り）,c,2002-09-10,2002-09-12,4,6,6.0,1.5,70,67
8,千代田区東神田2-10-18,35.695621,139.780716,JGD2011,新宿両国線（靖国通り）,c,2002-09-10,2002-09-12,4,6,6.0,1.5,70,69
9,千代田区外神田3-15-1,35.701672,139.771301,JGD2011,秋葉原雑司ケ谷線（中央通り）,c,2002-11-06,2002-11-08,4,6,6.6,1.5,71,69
10,千代田区富士見1-4-4,35.698582,139.746185,JGD2011,区道２７０号（早稲田通り）,c,2003-02-04,2003-02-06,6,1,2.3,1.5,66,61
11,千代田区神田神保町2-15,35.696636,139.756454,JGD2011,白山祝田田町線（白山通り）,c,2002-11-06,2002-11-13,4,6,9.2,1.5,71,69
12,千代田区神田岩本町15,35.696655,139.775024,JGD2011,国道４号（日光街道）,c,2002-11-06,2002-11-13,3,7,7.0,1.5,73,71
13,千代田区神田岩本町15(和泉橋出張所4階),35.696655,139.775024,JGD2011,首都高速１号上野線,c,2002-11-06,2002-11-13,2,4,18.2,13.6,76,73
14,千代田区岩本町2-8-10,35.692696,139.776596,JGD2011,区道７９２号（水天宮通り）,c,2003-02-04,2003-02-06,5,5,3.8,1.5,69,67
15,千代田区丸の内1-1-3,35.684559,139.761765,JGD2011,国道１号（日比谷通り）,c,2003-01-28,2003-01-30,3,7,5.0,1.5,71,70
16,千代田区日比谷公園,35.673889,139.756195,JGD2011,国道１号（晴海通り）,b,2003-01-28,2003-01-30,3,10,3.4,1.5,71,70
17,千代田区霞ヶ関2-1,35.676193,139.751129,JGD2011,国道２０号（内堀通り）,c,2003-01-28,2003-01-30,3,8,3.5,1.5,74,73
18,千代田区丸の内2-2,35.680233,139.762222,JGD2011,国道１号（日比谷通り）,C,2002-11-27,2002-11-28,3,7,5.4,1.2,72,72
19,千代田区隼町4,35.680664,139.743408,JGD2011,白山祝田田町線（内堀通り）,C,2002-11-27,2002-11-28,4,8,5.4,1.2,69,67
20,千代田区大手町1-1,35.685982,139.762329,JGD2011,白山祝田田町線（内堀通り）,C,2002-11-27,2002-11-28,4,8,4.5,1.2,68,66
21,中央区日本橋小伝馬町20-3先,35.692455,139.780502,JGD2011,国道６号（江戸通り）,c,2002-06-18,2002-06-21,3,6,4.5,1.2,72,71
22,中央区日本橋本町2-2-10先,35.687996,139.775497,JGD2011,日本橋芝浦大森線（昭和通り）,c,2002-06-25,2002-06-28,4,8,4.5,1.2,73,71
23,中央区築地6-1-11先,35.665749,139.772690,JGD2011,日比谷豊洲埠頭東雲町線（晴海通り）,c,2002-07-09,2002-07-12,4,6,4.5,1.2,71,71
24,中央区日本橋人形町2-36-1先,35.685848,139.786469,JGD2011,東京市川線（新大橋通り）,c,2003-01-28,2003-01-31,4,6,4.5,1.2,72,70
25,中央区京橋2-3-13先,35.676655,139.771225,JGD2011,国道１５号（中央通り）,c,2003-02-25,2003-02-28,3,5,3.0,1.2,67,65
26,中央区入船1-1-1先,35.673565,139.777573,JGD2011,東京市川線（新大橋通り）,c,2003-03-11,2003-03-14,4,6,4.5,1.2,67,66
27,中央区銀座1-16-3先,35.674118,139.770599,JGD2011,日本橋芝浦大森線（昭和通り）,c,2003-02-04,2003-02-07,4,8,4.6,1.2,73,73
