種類,再生利用率（%）,減量化率（%）,最終処分率（%）
燃え殻,25.0,50.0,25.0
汚泥計,10.6,88.7,0.7
(上水汚泥),4.1,93.8,2.1
(下水汚泥),0.1,99.8,0.2
(建設汚泥),50.1,48.1,1.8
(その他汚泥),23.4,71.0,5.6
廃油,33.3,66.7,0.0
廃酸,16.7,66.7,16.7
廃アルカリ,33.3,66.7,0.0
廃プラスチック類,66.0,25.1,8.9
金属くず,98.0,1.3,0.7
ガラス・陶磁器くず,69.2,10.0,20.8
鉱さい,87.5,0.0,12.5
がれき類,96.9,1.1,2.0
石綿含有産業廃棄物,11.4,6.8,81.8
ばいじん,0.0,0.0,100.0
紙くず,80.0,20.0,0.0
木くず,85.4,13.7,0.9
繊維くず,66.7,0.0,33.3
動植物性残さ,61.5,38.5,0.0
動物系固形不要物,66.7,33.3,0.0
動物のふん尿,59.0,41.0,0.0
混合廃棄物,67.7,7.3,25.0
その他,60.0,40.0,0.0
特別管理産業廃棄物,21.1,69.0,9.9
(感染性廃棄物),5.1,92.3,2.6
（特定有害産業廃棄物）,20.0,40.0,40.0
合計,33.9,63.9,2.1
