項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,1江戸川／金町取水点,2旧江戸川／浦安橋,3中川／平井小橋,4新中川／小岩大橋,5新川／新川橋,6隅田川／小台橋,6隅田川／小台橋二重測定,7隅田川／両国橋,8新河岸川／志茂橋,9白子川／落合橋,10石神井川／豊石橋,11神田川／柳橋,12日本橋川／西河岸橋,13横十間川／天神橋,13横十間川／天神橋二重測定,14大横川／福寿橋,15北十間川／京成橋,16竪川／二之橋,17小名木川／進開橋,18旧中川／中平井橋,19古川／金杉橋,20目黒川／太鼓橋,21立会川／立会川橋,22内川／富士見橋,23呑川／夫婦橋,34多摩川／和田橋,37残堀川／立川橋,37残堀川／立川橋二重測定,38程久保川／玉川橋,39三沢川／天神橋,39三沢川／天神橋二重測定,40仙川／鎌田橋,41鶴見川／麻生橋,43霞川／金子橋,44柳瀬川／清柳橋
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.06,0.02,1,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.06,0.02,-,pg/L,12,22,100,140,14,4.3,4.6,8,2.9,3.9,0.76,0.69,0.53,1.3,1.3,1.7,2.2,2.8,1.5,2.4,0.16,0.1,0.12,0.39,0.13,ND,0.43,0.46,2.4,1.6,1.6,0.3,0.94,1.3,0.21
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.06,0.02,-,pg/L,4.2,7.3,38,51,5.4,1.6,2,3.6,0.95,1.5,0.29,0.26,0.16,0.51,0.51,0.64,0.75,1.3,0.53,1,0.07,ND,(0.05),0.2,0.07,ND,0.17,0.14,0.74,0.62,0.53,0.14,ND,0.45,0.12
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/L,17,31,140,200,21,7.3,7.7,12,5.4,7.6,1.7,2.6,1.5,2.6,2.5,3.1,3.8,4.6,2.8,4,3.1,5.6,0.17,1.6,5,ND,0.73,0.6,3.7,2.8,2.7,3,1.4,1.8,0.33
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.10,0.03,1,pg/L,ND,(0.07),0.27,0.38,(0.06),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.04),ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/L,2,3.6,19,24,2.9,1,0.63,1.8,0.45,0.92,0.1,ND,0.17,0.51,0.36,0.32,0.48,0.37,0.43,0.9,0.14,0.16,ND,0.37,0.19,ND,0.39,0.37,0.41,0.15,0.21,0.34,0.31,0.36,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.16,0.05,0.1,pg/L,(0.07),(0.11),0.42,0.56,(0.10),ND,ND,(0.06),ND,(0.05),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.21,0.06,0.1,pg/L,(0.10),0.26,0.95,1.3,0.26,(0.09),ND,(0.19),ND,(0.07),ND,ND,ND,(0.19),(0.17),ND,(0.08),(0.11),ND,(0.14),ND,ND,ND,ND,ND,ND,(0.08),(0.08),ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.20,0.06,0.1,pg/L,(0.13),0.24,0.86,1.2,0.23,(0.08),ND,(0.16),ND,ND,ND,ND,ND,(0.11),(0.11),ND,ND,ND,ND,(0.11),ND,ND,ND,ND,ND,ND,ND,(0.09),ND,ND,ND,ND,ND,ND,ND
