項目名,,毒性等価係数,新宿区西早稲田1／定量      下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,練馬区関町北4／定量      下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,足立区神明1／定量      下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,八王子市滝山町1／定量      下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,武蔵野市関前4／定量      下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,小金井市桜町1／定量      下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,日野市東平山3／定量      下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,東大和市高木2／定量      下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,日の出町大久野／定量      下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）
ＰＣＤＤｓ,"1,3,6,8-TeCDD",0,0.08,0.02,(0.05),0.08,0.02,(0.06),0.07,0.02,0.09,0.04,0.01,0.11,0.08,0.02,ND,0.08,0.02,(0.04),0.07,0.02,(0.07),0.07,0.02,0.09,0.08,0.02,(0.07)
ＰＣＤＤｓ,"1,3,7,9-TeCDD",0,0.08,0.02,ND,0.08,0.02,(0.03),0.07,0.02,(0.04),0.04,0.01,0.04,0.08,0.02,ND,0.08,0.02,(0.02),0.07,0.02,ND,0.07,0.02,ND,0.08,0.02,ND
ＰＣＤＤｓ,"2,3,7,8-TeCDD",1,0.08,0.02,ND,0.08,0.02,ND,0.07,0.02,ND,0.04,0.01,ND,0.08,0.02,ND,0.08,0.02,ND,0.07,0.02,ND,0.07,0.02,ND,0.08,0.02,ND
ＰＣＤＤｓ,"1,2,3,7,8-PeCDD",1,0.08,0.02,ND,0.08,0.02,ND,0.07,0.02,ND,0.04,0.01,ND,0.08,0.02,ND,0.08,0.02,ND,0.07,0.02,ND,0.07,0.02,ND,0.08,0.02,ND
ＰＣＤＤｓ,"1,2,3,4,7-PeCDD",0,0.08,0.02,ND,0.08,0.02,ND,0.07,0.02,(0.03),―,―,―,0.08,0.02,ND,0.08,0.02,ND,0.07,0.02,ND,0.07,0.02,ND,0.08,0.02,ND
ＰＣＤＤｓ,"1,2,3,4,7,8-HxCDD",0.1,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.06,0.02,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND
ＰＣＤＤｓ,"1,2,3,6,7,8-HxCDD",0.1,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.06,0.02,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND
ＰＣＤＤｓ,"1,2,3,7,8,9-HxCDD",0.1,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.05,0.01,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND
ＰＣＤＤｓ,"1,2,3,4,6,7,8-HpCDD",0.01,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.08,0.02,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND
ＰＣＤＤｓ,OCDD,0.0003,0.24,0.07,ND,0.25,0.07,(0.20),0.25,0.07,0.56,0.13,0.04,0.22,0.25,0.07,ND,0.25,0.07,ND,0.24,0.07,ND,0.24,0.07,ND,0.24,0.07,ND
ＰＣＤＦｓ,"1,3,6,8-TeCDF",0,0.08,0.02,ND,0.08,0.02,ND,0.07,0.02,ND,―,―,―,0.08,0.02,ND,0.08,0.02,ND,0.07,0.02,ND,0.07,0.02,ND,0.08,0.02,ND
ＰＣＤＦｓ,"1,2,7,8-TeCDF",0,0.08,0.02,ND,0.08,0.02,ND,0.07,0.02,ND,0.04,0.01,ND,0.08,0.02,ND,0.08,0.02,ND,0.07,0.02,ND,0.07,0.02,ND,0.08,0.02,ND
ＰＣＤＦｓ,"2,3,7,8-TeCDF",0.1,0.08,0.02,ND,0.08,0.02,ND,0.07,0.02,ND,0.04,0.01,ND,0.08,0.02,ND,0.08,0.02,ND,0.07,0.02,ND,0.07,0.02,ND,0.08,0.02,ND
ＰＣＤＦｓ,"1,2,3,7,8-PeCDF",0.03,0.08,0.02,ND,0.08,0.02,ND,0.07,0.02,ND,0.04,0.01,ND,0.08,0.02,ND,0.08,0.02,ND,0.07,0.02,ND,0.07,0.02,ND,0.08,0.02,ND
ＰＣＤＦｓ,"2,3,4,7,8-PeCDF",0.3,0.07,0.02,ND,0.07,0.02,ND,0.07,0.02,ND,0.05,0.02,ND,0.07,0.02,ND,0.07,0.02,ND,0.06,0.02,ND,0.07,0.02,ND,0.06,0.02,ND
ＰＣＤＦｓ,"1,2,3,4,7,8-HxCDF",0.1,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.04,0.01,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND
ＰＣＤＦｓ,"1,2,3,6,7,8-HxCDF",0.1,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.06,0.02,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND
ＰＣＤＦｓ,"1,2,3,7,8,9-HxCDF",0.1,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.08,0.02,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND
ＰＣＤＦｓ,"2,3,4,6,7,8-HxCDF",0.1,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.05,0.01,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND,0.13,0.04,ND
