測定日,測定位置（高さ(m)）,B1（μSv/h）,B2（μSv/h）,B3（μSv/h）,B4（μSv/h）,B5（μSv/h）,B6（μSv/h）,B7（μSv/h）,B8（μSv/h）
平成27年 9月24日,  1.0,0.04,0.05,0.04,0.03,0.04,0.05,0.04,0.04
平成27年 9月16日,  1.0,0.03,0.05,0.04,0.03,0.04,0.04,0.03,0.04
平成27年 9月9日,  1.0,0.03,0.04,0.03,0.03,0.03,0.04,0.03,0.04
平成27年 9月2日,  1.0,0.04,0.06,0.04,0.03,0.04,0.04,0.04,0.04
平成27年 8月26日,  1.0,0.04,0.05,0.04,0.03,0.03,0.04,0.04,0.04
平成27年 8月19日,  1.0,0.04,0.04,0.04,0.03,0.05,0.04,0.03,0.04
平成27年 8月12日,  1.0,0.02,0.05,0.04,0.03,0.03,0.04,0.04,0.02
平成27年 8月5日,  1.0,0.04,0.03,0.02,0.03,0.03,0.03,0.03,0.03
平成27年 7月29日,  1.0,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.04
平成27年 7月22日,  1.0,0.03,0.04,0.03,0.02,0.02,0.03,0.02,0.03
平成27年 7月15日,  1.0,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.04
平成27年 7月8日,  1.0,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.04
平成27年 7月1日,  1.0,0.06,0.07,0.04,0.05,0.05,0.06,0.05,0.06
