年度,汚泥（千t）,がれき類（千t）,混合廃棄物（千t）,ガラス・陶磁器くず（千t）,木くず（千t）,その他（千t）,処分量合計（千t）
昭和57,1611,1332,0,25,5,225,3198
昭和62,2206,1852,0,377,68,19,4522
平成4　,3219,2205,0,410,70,166,6070
平成10,1746,1190,216,139,24,128,3443
平成15,815,26,135,215,27,274,1493
平成16,915,32,191,91,28,320,1576
平成17,594,126,80,79,21,281,1181
平成18,500,228,254,252,9,163,1405
平成19,253,273,222,233,6,177,1164
平成20,332,136,129,181,19,233,1030
平成21,231,187,122,174,10,115,839
平成22,222,151,103,203,12,95,786
平成23,181,99,118,316,12,305,1031
平成24,200,105,144,317,11,100,877
平成25,156,223,145,139,3,82,747
平成26,128,193,145,139,3,96,704
平成27,118,158,128,107,3,92,606
平成28,139,108,104,122,3,104,580
