No.,分野,区分,素地面,塗装仕様名称,塗装工程,塗料名,使用量(g/m2),目標膜厚(μm),シンナー,希釈率(重量%),塗り回数(回),塗装方法,塗装間隔(日),塗装間隔(日),"VOC量
（塗料）(g/m2)","VOC量
（シンナー）(g/m2)",VOC量(g/m2),(%),耐食性,耐候性,塗料費（指数）,塗装費（指数）,塗りやすさ,塗膜形成し易さ（塗付け作業時の気温、湿度の制限）／気温 [℃],塗膜形成し易さ（塗付け作業時の気温、湿度の制限）／湿度 [RH%],参考資料
現行,構造物,新設,橋梁（鋼材）,C-5塗装系,素地調整／プライマー／2次素地調整／防食下地／ミストコート／下塗／中塗／上塗,,,,,,,,,,573,326,899,(-),A,A,1,1,A,,,日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,新設,橋梁（鋼材）,C-5塗装系,素地調整,,,,,,,,,,,,,,A,A,1,1,,,,日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,新設,橋梁（鋼材）,C-5塗装系,プライマー,無機ジンクリッチプライマー,160,(15),シンナー,10,1,エアレススプレー,-,4h,48,16,,,A,A,1,1,A,0以下,50以下,日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,新設,橋梁（鋼材）,C-5塗装系,2次素地調整,,,,,,,,-,6ヶ月,,,,,A,A,1,1,,,,日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,新設,橋梁（鋼材）,C-5塗装系,防食下地,無機ジンクリッチペイント,600,75,シンナー,10,1,エアレススプレー,-,4h,140,60,,,A,A,1,1,A,0以下,50以下,日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,新設,橋梁（鋼材）,C-5塗装系,ミストコート,エポキシ樹脂塗料下塗,160,-,シンナー,50,1,エアレススプレー,2,10,59,80,,,A,A,1,1,A,10以下,85以上,日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,新設,橋梁（鋼材）,C-5塗装系,下塗,エポキシ樹脂塗料下塗,540,120,シンナー,20,1,エアレススプレー,1,10,222,108,,,A,A,1,1,A,10以下,85以上,日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,新設,橋梁（鋼材）,C-5塗装系,中塗,ふっ素樹脂塗料用中塗,170,30,シンナー,20,1,エアレススプレー,1,10,54,34,,,A,A,1,1,A,5以下,85以上,日本道路協会「鋼道路橋塗装・防食便覧」
現行,構造物,新設,橋梁（鋼材）,C-5塗装系,上塗,ふっ素樹脂塗料上塗,140,25,シンナー,20,1,エアレススプレー,1,10,50,28,,,A,A,1,1,A,0以下,85以上,日本道路協会「鋼道路橋塗装・防食便覧」
4.1.1,構造物,新設,橋梁（鋼材）,低VOC塗装（外面）,素地調整／プライマー／2次素地調整／防食下地／ミストコート／下塗／中塗／上塗,,,,,,,,,,235,76,311,-65,A',A',1.5,1.5,B,,,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成22年12月）】／水性塗料の留意点としては、低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすいということが挙げられます。この傾向は特に水性エポキシ樹脂塗料で大きく、安全をみて40μm×3回塗りと設定しました。塗装回数が増えることに伴い、塗装費指数を[1]→[1.5]としました。また、防食性や耐候性などの長期耐久性については継続調査中であるため、いずれも [A']としました。
