レンジ,基準,原単位(kg-CO2/m2)範囲,事業所数,平均面積(m2),平均原単位(kg-CO2/m2)
A4,0.55以下,328.2以下,198,373,596.6
A3+,0.55超-0.60以下,328.2超-358.0以下,80,306,596.6
A3,0.60超-0.65以下,358.0超-387.8以下,116,306,596.6
A3-,0.65超-0.70以下,387.8超-417.7以下,113,304,596.6
A2+,0.70超-0.75以下,417.7超-447.5以下,91,297,596.6
A2,0.75超-0.80以下,447.5超-477.3以下,92,284,596.6
A2-,0.80超-0.85以下,477.3超-507.2以下,71,282,596.6
A1+,0.85超-0.90以下,507.2超-537.0以下,81,274,596.6
A1,0.90超-0.95以下,537.0超-566.8以下,61,260,596.6
A1-,0.95超-1.00以下,566.8超-596.6以下,63,231,596.6
B2+,1.00超-1.05以下,596.6超-626.5以下,46,245,596.6
B2,1.05超-1.10以下,626.5超-656.3以下,38,225,596.6
B2-,1.10超-1.15以下,656.3超-686.1以下,37,228,596.6
B1,1.15超-1.50以下,686.1超-894.9以下,248,136,596.6
C,1.50超,894.9超,234,85,596.6
