,処理量（千t）,比率（%）
千葉県,134,28.1
栃木県,121,25.4
東京都,107,22.4
埼玉県,56,11.7
神奈川県,29,6.1
茨城県,15,3.1
群馬県,15,3.1
合計,477,100.0
