整理番号,調査地点,緯度,経度,座標系,pg-TEQ/g
1,千代田区猿楽町 1,35.698444,139.760361,JGD2011,0.24
2,台東区台東 4,35.706596,139.779419,JGD2011,0.66
3,墨田区堤通 2,35.733963,139.814667,JGD2011,9.3
4,大田区西六郷 3,35.546432,139.704468,JGD2011,4.6
5,世田谷区上祖師谷 3,35.654926,139.600800,JGD2011,6.3
6,渋谷区広尾 5,35.649944,139.720016,JGD2011,0.32
7,豊島区西池袋 3,35.729156,139.703873,JGD2011,1.7
8,練馬区大泉町 3,35.766994,139.598419,JGD2011,14
9,足立区入谷 2,35.808769,139.764252,JGD2011,1.0
10,江戸川区小松川 2,35.695843,139.852707,JGD2011,6.2
11,八王子市上柚木 2,35.619541,139.370087,JGD2011,1.3
12,小平市上水南町 3,35.712784,139.491684,JGD2011,12
13,狛江市和泉本町 4,35.644012,139.568405,JGD2011,5.9
14,清瀬市竹丘 3,35.765610,139.504074,JGD2011,4.0
15,瑞穂町二本木,35.791096,139.353455,JGD2011,3.9
16,奥多摩町留浦,35.800583,138.999527,JGD2011,0.50
最大値,,,,,14
最小値,,,,,0.24
平均値,,,,,4.5
