業種,排出量（千t）,構成比（％）
医療，福祉,37,52.1
製造業,18,25.4
建設業,9,12.7
教育，学習支援業,3,4.2
学術研究，専門・技術サービス業,2,2.8
電気・ガス・熱供給業,2,2.8
合計,71,100.0
