レンジ,基準,原単位(kg-CO2/m2)範囲,事業所数,平均面積(m2),平均原単位(kg-CO2/m2)
A4,0.55以下,12.9以下,84,5576,23.4
A3+,0.55超-0.60以下,12.9超-14.1以下,39,8316,23.4
A3,0.60超-0.65以下,14.1超-15.3以下,66,8312,23.4
A3-,0.65超-0.70以下,15.3超-16.4以下,102,7841,23.4
A2+,0.70超-0.75以下,16.4超-17.6以下,117,7217,23.4
A2,0.75超-0.80以下,17.6超-18.8以下,138,7385,23.4
A2-,0.80超-0.85以下,18.8超-19.9以下,169,7134,23.4
A1+,0.85超-0.90以下,19.9超-21.1以下,176,7078,23.4
A1,0.90超-0.95以下,21.1超-22.3以下,173,6852,23.4
A1-,0.95超-1.00以下,22.3超-23.4以下,121,6742,23.4
B2+,1.00超-1.05以下,23.4超-24.6以下,126,6838,23.4
B2,1.05超-1.10以下,24.6超-25.8以下,109,6992,23.4
B2-,1.10超-1.15以下,25.8超-27.0以下,56,7271,23.4
B1,1.15超-1.50以下,27.0超-35.1以下,168,7950,23.4
C,1.50超,35.1超,137,9098,23.4
