項目名,毒性等価係数,定量下限値（pg/g）,検出下限値（pg/g）,昭島市宮沢町3（pg/g）,東大和市向原1（pg/g）,稲城市若葉台1（pg/g）,羽村市緑ヶ丘5（pg/g）,西東京市下保谷3（pg/g）,檜原村（pg/g）
"1,3,6,8-TeCDD",0,1.0,0.3,3.6,16,4.2,5.7,15,5.5
"1,3,7,9-TeCDD",0,1.0,0.3,2.0,9.8,1.8,2.8,8.4,1.7
"2,3,7,8-TeCDD",1,1.0,0.3,N.D.,1.2,N.D.,N.D.,N.D.,N.D.
"1,2,3,7,8-PeCDD",1,1.0,0.3,0.4,18,0.5,0.9,1.4,0.6
"1,2,3,4,7,8-HxCDD",0.1,2.0,0.6,N.D.,31,1.0,0.8,1.4,0.7
"1,2,3,6,7,8-HxCDD",0.1,2.0,0.6,0.6,66,2.1,1.7,5.2,1.1
"1,2,3,7,8,9-HxCDD",0.1,2.0,0.6,1.2,69,2.1,1.5,4.7,1.3
"1,2,3,4,6,7,8-HpCDD",0.01,2.0,0.6,7.1,2100,66,19,49,13
OCDD,0.0003,5,2,71,43000,1800,150,420,75
"1,2,7,8-TeCDF",0,1.0,0.3,0.6,3.5,N.D.,0.8,2.1,1.0
"2,3,7,8-TeCDF",0.1,1.0,0.3,0.3,2.2,N.D.,0.6,2.1,0.7
"1,2,3,7,8-PeCDF",0.03,1.0,0.3,0.5,4.1,0.4,1.2,2.3,1.4
"2,3,4,7,8-PeCDF",0.3,1.0,0.3,1.0,11,0.5,1.3,2.2,1.5
"1,2,3,4,7,8-HxCDF",0.1,2.0,0.6,1.0,21,4.5,2.1,3.5,2.6
"1,2,3,6,7,8-HxCDF",0.1,2.0,0.6,1.1,36,2.2,2.4,3.6,2.9
"1,2,3,7,8,9-HxCDF",0.1,2.0,0.6,N.D.,1.6,N.D.,N.D.,N.D.,N.D.
"2,3,4,6,7,8-HxCDF",0.1,2.0,0.6,1.2,40,1.4,3.2,4.7,4.6
"1,2,3,4,6,7,8-HpCDF",0.01,2.0,0.6,4.0,1100,30,11,34,15
"1,2,3,4,7,8,9-HpCDF",0.01,2.0,0.6,N.D.,35,5.0,1.6,2.6,2.4
OCDF,0.0003,5,2,3,3200,73,10,45,13
"3,4,4',5-TeCB(#81)",0.0003,2.0,0.6,N.D.,1.0,N.D.,0.8,1.2,0.8
"3,3',4,4'-TeCB(#77)",0.0001,2.0,0.6,5.6,11,8.1,24,20,13
"3,3',4,4',5-PeCB(#126)",0.1,2.0,0.6,1.1,6.7,0.8,6.0,10,2.6
"3,3',4,4',5,5'-HxCB(#169)",0.03,2.0,0.6,N.D.,3.8,N.D.,1.1,2.7,N.D.
"2',3,4,4',5-PeCB(#123)",0.00003,2.0,0.6,3.0,3.5,1.5,2.3,8.0,1.8
"2,3',4,4',5-PeCB(#118)",0.00003,2.0,0.6,99,70,48,68,180,72
"2,3,3',4,4'-PeCB(#105)",0.00003,2.0,0.6,51,36,26,39,81,38
"2,3,4,4',5-PeCB(#114)",0.00003,2.0,0.6,3.0,2.2,1.7,1.1,3.1,1.9
"2,3',4,4',5,5'-HxCB(#167)",0.00003,2.0,0.6,8.7,11,3.9,8.7,26,5.1
"2,3,3',4,4',5-HxCB(#156)",0.00003,2.0,0.6,25,21,10,17,49,13
"2,3,3',4,4',5'-HxCB(#157)",0.00003,2.0,0.6,6.8,8.7,2.9,7.8,21,4.0
"2,3,3',4,4',5,5'-HpCB(#189)",0.00003,2.0,0.6,1.6,5.1,0.9,4.0,5.7,1.2
TeCDDs ,,,,8.0,39,7.2,13,31,9.9
PeCDDs ,,,,6.4,88,6.0,13,24,9.1
HxCDDs ,,,,12,510,21,23,56,18
HpCDDs,,,,14,4100,130,38,91,28
OCDD,,,,71,43000,1800,150,420,75
Total（PCDDs）,,,,110,48000,1900,230,620,140
TeCDFs,,,,15,62,7.0,23,52,25
PeCDFs,,,,12,180,11,21,40,23
HxCDFs,,,,12,800,47,27,59,33
HpCDFs,,,,6.5,2100,68,19,67,27
OCDF,,,,3,3200,73,10,45,13
Total（PCDFs）,,,,48,6400,210,100,260,120
Total (PCDDs+PCDFs),,,,160,54000,2100,330,880,260
Total Co-PCBs,,,,200,180,100,180,410,150
TEQ Total(PCDDs+PCDFs),,,,0.43,95,2.7,1.5,5.5,1.8
TEQ Total Co-PCB,,,,0.0065,0.79,0.0035,0.61,1.1,0.27
TEQ Total(PCDDs+PCDFs+Co-PCB),,,,0.44,96,2.7,2.2,6.6,2.1
含水率（％）,,,,8.0,9.0,3.4,1.1,8.3,1.6
強熱減量（％）,,,,8.4,19.0,5.7,3.0,19.2,3.2
土色,,,,にぶい赤褐,黒褐 ,褐灰,褐灰,黒褐,黒褐
