年度,上下水道業（千t）,建設業（千t）,製造業（千t）,その他（千t）,減量化量合計（千t）
昭和57,9387,1392,1283,38,12100
昭和62,12178,654,1451,36,14319
平成4　,12698,707,1597,66,15068
平成10,12058,2165,1678,144,16045
平成15,12543,1584,998,222,15346
平成16,13118,2779,776,216,16889
平成17,12929,1147,767,164,15007
平成18,13035,1172,799,200,15206
平成19,12960,1377,889,152,15378
平成20,13010,1214,669,182,15075
平成21,14114,1232,541,189,16076
平成22,13534,1198,302,192,15226
平成23,14346,1127,435,187,16095
平成24,13629,1243,440,183,15495
平成25,13437,1053,553,109,15152
平成26,13033,1085,457,119,14694
平成27,11969,906,459,135,13469
平成28,14619,1375,508,152,16654
平成29,14773,1986,523,166,17448
