事業所名,受付番号,事業機関,事業名称,事業地住所,緯度,経度,座標系,対象事業,実施状況,詳細
（仮称）品川駅Ｂ－１地区開発協議会,185,－,（仮称）品川駅東口Ｂ－１地区開発事業,港区港南２丁目、品川区北品川１丁目,35.630932,139.739700,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/185dtl.html
(株)電通,183,－,(仮称)汐留Ａ街区、Ｂ街区、Ｃ街区開発事業,港区東新橋１－５,35.665634,139.761398,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/183dtl.html
(財)聖路加国際病院,47,その他,聖路加国際病院建設事業,中央区明石町８－１０番地,35.666767,139.778534,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/47dtl.html
Ｓ．Ｐ．Ｅ．Ｃ．株式会社,290,民間,産業廃棄物（埋設廃棄物）処理施設建設事業,大田区城南島三丁目１番５,35.577679,139.775757,JGD2011,廃棄物処理施設の設置又は変更,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/290dtl.html
イオンタウン株式会社,322,－,（仮称）イオンタウン羽村建設事業（計）,東京都羽村市神明台二丁目1番1号、二丁目6番13号,35.757679,139.321960,JGD2011,駐車場（自動車駐車場の設置）,評価書案に係る見解書,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/322dtl.html
イオンモール株式会社,245,民間,（仮称）イオン日の出ショッピングセンター建築事業,日の出町三吉野桜木地区内,35.742031,139.257431,JGD2011,駐車場（自動車駐車場の設置）,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/245dtl.html
イオンモール株式会社,308,－,（仮称）八王子インター北ＳＣ建設事業,八王子市左入町及び滝山一丁目の一部,35.683014,139.344772,JGD2011,駐車場（自動車駐車場の設置）,評価書案に係る見解書,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/308dtl.html
イオンモール株式会社,332,民間,(仮称）イオンモールむさし村山計画,武蔵村山市榎一丁目及び立川市上砂町六丁目,35.740891,139.388016,JGD2011,駐車場（自動車駐車場の変更）,調査計画書,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/332dtl.html
イオンリテール株式会社,249,民間,イオン東久留米ショッピングセンター（仮称）建築事業,東久留米市南沢五丁目１７番,35.745300,139.525665,JGD2011,駐車場（自動車駐車場の設置）,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/249dtl.html
イケア・ジャパン株式会社,294,民間,（仮称）ＩＫＥＡ立川建設事業,東京都立川市緑町６番,35.707085,139.411972,JGD2011,自動車駐車場の設置,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/294dtl.html
エヌ・ティ・ティ都市開発株式会社,96,－,芝浦三丁目共同開発事業,港区芝浦３丁目１９、２１、２２番,35.641563,139.749329,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/96dtl.html
エヌ・ティ・ティ都市開発株式会社,282,共同,芝浦水再生センター再構築に伴う上部利用事業　※H24.4対象外,港区港南一丁目２番１号,35.631985,139.743622,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/282dtl.html
コーナン商事株式会社,241,民間,(仮称)グリーンウォーク多摩建築事業,八王子市別所2丁目56番,35.611900,139.395996,JGD2011,駐車場（自動車駐車場の設置）,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/241dtl.html
サッポロビール株式会社,56,－,サッポロビール恵比寿工場跡地再開発事業,目黒区三田１丁目他、渋谷区恵比寿４丁目他,35.640392,139.713776,JGD2011,高層建築物の新築、住宅団地の新設、駐車場(自動車駐車場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/56dtl.html
トッパン・フォームズ株式会社,268,－,（仮称）トッパン・フォームズ株式会社八王子工場建設事業,東京都八王子市戸吹町270番、他,35.707138,139.289200,JGD2011,工場(工場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/268dtl.html
ふじみ衛生組合,264,その他,ふじみ新ごみ処理施設整備事業,調布市深大寺東町七丁目５０番地３０外,35.681793,139.560730,JGD2011,廃棄物処理施設の設置又は変更,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/264dtl.html
ホンダ総合建物株式会社,54,－,ホンダ青山ヘリポート設置事業　★事業廃止(S63/12/20),港区南青山２丁目１番１号,35.672199,139.723816,JGD2011,飛行場(飛行場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/54dtl.html
