,地点番号,調査地点,,平成25年度(TEQ)／水質  (pg/L)／４月,平成25年度(TEQ)／水質  (pg/L)／７月,"平成25年度(TEQ)／水質  (pg/L)／10,11月",平成25年度(TEQ)／水質  (pg/L)／1月,平成25年度(TEQ)／水質  (pg/L)／年度平均,平成25年度(TEQ)／底質 (pg/g),平成24年度(TEQ)／水質  (pg/L)／４月,平成24年度(TEQ)／水質  (pg/L)／７月,平成24年度(TEQ)／水質  (pg/L)／10月,平成24年度(TEQ)／水質  (pg/L)／1月,平成24年度(TEQ)／水質  (pg/L)／年度平均,平成24年度(TEQ)／底質 (pg/g)
河川,1,江戸川,金町取水点,0.17,-,0.097,-,0.13,0.33,0.43,-,0.088,-,0.26,0.41
河川,2,旧江戸川,浦安橋,0.27,-,0.13,-,0.2,0.33,0.34,-,0.26,-,0.3,0.36
河川,3,中川,平井小橋,0.5,0.74,0.55,0.48,0.57,1,0.53,1.6,0.81,0.7,0.91,5.3
河川,4,新中川,小岩大橋,0.6,0.45,0.52,0.5,0.52,3.1,0.4,1.8,1.1,0.33,0.91,1.5
河川,5,新川,新川橋,0.16,-,0.11,-,0.14,20,0.3,-,0.78,-,0.54,27
河川,6,隅田川,小台橋,0.24,0.45,0.69,0.94,0.58,5.2,0.88,0.77,0.31,0.45,0.6,20
河川,7,隅田川,両国橋,0.38,-,0.088,-,0.23,3.6,0.21,-,0.13,-,0.17,12
河川,8,新河岸川,志茂橋,0.26,0.15,0.35,0.39,0.29,0.97,0.4,0.91,0.15,0.34,0.45,0.62
河川,9,白子川,落合橋,0.23,-,0.29,-,0.26,2.2,0.3,-,0.15,-,0.23,3
河川,10,石神井川,豊石橋,0.21,0.33,0.11,0.14,0.2,2.6,0.23,0.3,0.1,0.067,0.17,9.8
河川,11,神田川,柳橋,0.23,-,0.067,-,0.15,0.4,0.08,-,0.12,-,0.1,15
河川,12,日本橋川,西河岸橋,0.13,-,0.076,-,0.1,3.2,0.076,-,0.12,-,0.098,6.6
河川,13,横十間川,天神橋,0.3,0.57,0.39,0.16,0.36,200,0.94,0.54,1.2,0.38,0.77,200
河川,14,大横川,福寿橋,0.15,-,0.092,-,0.12,37,0.15,-,0.11,-,0.13,30
河川,15,北十間川,京成橋,0.76,0.4,0.16,0.53,0.46,73,0.36,0.76,0.35,0.29,0.44,47
河川,16,竪川,ニ之橋,0.14,-,0.079,-,0.11,86,0.15,-,0.11,-,0.13,94
河川,17,小名木川,進開橋,0.22,-,0.13,-,0.18,30,0.58,-,0.12,-,0.35,15
河川,18,旧中川,中平井橋,0.27,0.2,0.27,0.14,0.22,30,0.31,0.2,0.42,0.23,0.29,22
河川,19,古川,金杉橋,0.076,-,0.082,-,0.079,1.8,0.1,-,0.088,-,0.094,1.8
河川,20,目黒川,太鼓橋,0.081,-,0.064,-,0.073,0.68,0.073,-,0.091,-,0.082,0.64
河川,21,立会川,立会川橋,0.1,-,0.063,-,0.082,0.4,0.13,-,0.081,-,0.11,1
河川,22,内川,富士見橋,0.44,-,0.6,-,0.52,19,0.48,-,0.19,-,0.34,17
河川,23,呑川,夫婦橋,0.075,-,0.065,-,0.07,0.56,0.071,-,0.16,-,0.12,0.98
河川,24,日原川,氷川小橋,-,-,0.062,-,0.062,0.21,-,-,-,-,-,-
河川,25,平井川,多西橋,-,-,0.2,-,0.2,0.25,-,-,-,-,-,-
河川,26,北秋川,西川橋,-,-,0.062,-,0.062,0.23,-,-,-,-,-,-
河川,27,谷地川,下田橋下,0.071,-,0.16,-,0.12,1.5,-,-,-,-,-,-
河川,28,浅川,中央道北浅川橋,-,-,0.063,-,0.063,0.94,-,-,-,-,-,-
河川,29,南浅川,横川橋,-,-,0.063,-,0.063,1.6,-,-,-,-,-,-
河川,30,湯殿川,春日橋,-,-,0.066,-,0.066,0.89,-,-,-,-,-,-
河川,31,大栗川,向ノ岡大橋,0.072,-,0.064,-,0.068,1.2,-,-,-,-,-,-
