業種,平成27年度（%）,平成28年度（%）
合計,56.8,61.9
建設業,9.0,13.1
製造業,40.8,40.4
上下水道業,99.5,99.6
農業，林業,35.7,40.0
電気・ガス・熱供給業,0.0,0.0
情報通信業,5.9,29.4
運輸業,2.0,8.2
卸売業，小売業,25.4,30.5
不動産業，物品賃貸業,15.5,15.8
学術研究，専門・技術サービス業,28.1,32.3
宿泊業，飲食サービス業,36.0,38.5
生活関連サービス業，娯楽業,25.0,50.0
教育，学習支援業,38.5,38.5
医療，福祉,70.0,71.2
サービス業,30.8,20.0
自動車整備業,25.0,33.3
