業種,平成27年度（%）,平成28年度（%）
合計,2.6,2.2
建設業,4.0,3.8
製造業,9.0,8.7
上下水道業,0.4,0.2
農業，林業,0.0,0.0
電気・ガス・熱供給業,54.1,42.3
情報通信業,5.9,0.0
運輸業,9.8,6.1
卸売業，小売業,3.1,3.9
不動産業，物品賃貸業,20.7,14.0
学術研究，専門・技術サービス業,3.1,6.5
宿泊業，飲食サービス業,8.0,11.5
生活関連サービス業，娯楽業,25.0,25.0
教育，学習支援業,26.9,19.2
医療，福祉,6.7,6.8
サービス業,15.4,20.0
自動車整備業,0.0,0.0
