No.,区市町村名,可燃ごみ,不燃ごみ,粗大ごみ,資源ごみ,有害ごみ,合計
1,千代田区,16353,727,412,3413,0,20906
2,中央区,33778,1746,1207,6234,0,42964
3,港区,50729,2599,2021,15877,0,71226
4,新宿区,70746,3620,2549,14001,0,90915
5,文京区,42158,2000,1237,7455,0,52850
6,台東区,42644,3323,1431,5726,0,53124
7,墨田区,53692,2327,1457,7017,0,64493
8,江東区,93279,4649,3514,15991,0,117433
9,品川区,70253,3364,2089,16190,0,91897
10,目黒区,50220,2747,2263,8730,0,63959
11,大田区,132602,5913,4242,20978,0,163735
12,世田谷区,170686,7708,6735,37863,0,222991
13,渋谷区,52484,2989,1334,11036,0,67843
14,中野区,58856,2833,2549,7782,0,72020
15,杉並区,98009,4808,4375,32464,0,139657
16,豊島区,57984,2916,2034,12332,0,75265
17,北区,66244,3264,2288,13497,0,85293
18,荒川区,43720,2350,1241,298,0,47609
19,板橋区,108851,4343,3774,14302,0,131270
20,練馬区,130321,6393,4632,34029,0,175374
21,足立区,140275,703,3414,14161,0,158554
22,葛飾区,85019,4009,2774,17093,0,108895
23,江戸川区,130242,5584,4635,20546,0,161008
24,八王子市,116402,9975,2130,34161,124,162792
25,立川市,36387,3370,1366,11171,40,52334
26,武蔵野市,30868,1262,1401,10497,94,44122
27,三鷹市,28004,2202,1869,13345,60,45480
28,青梅市,29129,1557,1396,7669,63,39814
29,府中市,37854,3356,2112,15725,107,59154
30,昭島市,22289,1573,765,7120,51,31798
31,調布市,30820,4194,1324,19252,83,55673
32,町田市,88520,6774,4925,18229,157,118605
33,小金井市,13291,3703,896,8070,44,26004
34,小平市,33824,5716,1015,9840,73,50468
35,日野市,26632,5976,1734,10087,69,44498
36,東村山市,25450,2164,1288,9418,67,38387
37,国分寺市,19619,2709,751,8044,52,31175
38,国立市,14359,1728,592,4399,26,21104
39,福生市,11585,768,529,3916,28,16826
40,狛江市,13590,1017,413,4654,21,19695
41,東大和市,16295,1004,255,4879,27,22460
42,清瀬市,12514,1496,48,3802,27,17887
43,東久留米市,21855,2193,132,5779,39,29998
44,武蔵村山市,14482,1105,365,4456,32,20440
45,多摩市,32166,1705,1172,6808,60,41911
46,稲城市,16618,1356,352,3547,31,21904
47,羽村市,11329,408,596,4645,27,17005
48,あきる野市,14755,3371,696,4913,39,23774
49,西東京市,30389,3577,172,13424,57,47619
50,瑞穂町,7640,345,493,2923,19,11420
51,日の出町,3248,731,212,436,10,4637
52,檜原村,445,99,60,187,0,791
53,奥多摩町,1793,148,25,478,6,2450
54,大島町,3319,217,242,113,5,3896
55,利島村,104,5,0,14,0,123
56,新島村,1187,820,2,61,0,2070
57,神津島村,940,76,580,37,1,1634
58,三宅村,1341,180,208,0,0,1729
59,御蔵島村,253,6,7,14,1,281
60,八丈町,3218,119,0,751,3,4091
61,青ヶ島村,76,20,0,23,0,119
62,小笠原村,726,0,31,354,16,1127

