項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,1江戸川／金町取水点,2旧江戸川／浦安橋,3中川／平井小橋,3中川／平井小橋／外部精度管理,4新中川／小岩大橋,5新川／新川橋,6隅田川／小台橋,7隅田川／両国橋,7隅田川／両国橋／外部精度管理,8新河岸川／志茂橋,8新河岸川／志茂橋／外部精度管理,9白子川／落合橋／,10石神井川／豊石橋,11神田川／柳橋,12日本橋川／西河岸橋,13横十間川／天神橋,13横十間川／天神橋／外部精度管理,14大横川／福寿橋,15北十間川／京成橋,16堅川／二之橋,17小名木川／進開橋,18旧中川／中平井橋,18旧中川／中平井橋／二重測定,19古川／金杉橋,20目黒川／太鼓橋,21立会川／立会川橋,21立会川／立会川橋／二重測定,22内川／富士見橋,23呑川／夫婦橋,24多摩川／和田橋,25秋川／東秋川橋,25秋川／東秋川橋／二重測定,26養沢川／新橋,27残堀川／立川橋,28城山川／五反田橋,29川口川／川口川橋,30程久保川／玉川橋,31三沢川／天神橋,31三沢川／天神橋／二重測定,32仙川／鎌田橋,33鶴見川／麻生橋,34成木川／両郡橋,35霞川／金子橋,36柳瀬川／清柳橋,1小河内ﾀﾞﾑ／ﾀﾞﾑ前定点
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.10,0.03,1,pg/L,ND,ND,ND,(0.03),ND,ND,0.11,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.10,0.03,-,pg/L,4.5,10,38,40,26,7.4,16,3.6,4.4,20,5.5,2.3,5.0,1.9,0.62,3.5,4.2,1.9,5.8,1.7,3.0,1.3,1.2,0.25,0.42,0.16,0.13,0.68,0.32,0.14,(0.08),(0.09),(0.08),0.24,0.30,0.32,0.46,1.4,1.4,0.15,0.61,0.14,1.5,0.19,0.12
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.10,0.03,-,pg/L,1.6,3.7,15,15,9.4,2.7,6.4,1.4,1.7,6.9,2.0,0.80,1.8,0.75,0.19,1.4,1.7,0.67,2.3,0.60,1.1,0.43,0.42,(0.09),0.16,(0.04),(0.04),0.37,0.12,(0.05),ND,ND,(0.04),(0.09),0.10,0.11,0.17,0.43,0.43,(0.06),0.21,(0.05),0.52,(0.05),(0.05)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/L,6.6,15,55,57,37,11,25,6.6,8.1,29,8.9,3.8,7.9,4.6,1.8,6.6,8.3,3.5,9.7,2.6,5.0,2.5,2.3,1.2,6.3,0.32,0.28,3.3,8.4,0.19,(0.08),(0.09),0.12,0.33,0.59,0.55,1.4,2.7,2.8,0.99,1.2,0.30,2.1,0.33,0.17
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.10,0.03,1,pg/L,ND,(0.06),0.12,0.14,0.10,(0.06),0.13,ND,ND,(0.07),(0.04),ND,(0.03),ND,ND,ND,(0.03),ND,(0.04),ND,(0.04),ND,ND,ND,ND,ND,ND,(0.05),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",0.10,0.03,-,pg/L,0.14,0.13,0.18,0.19,0.20,(0.10),0.21,(0.05),(0.07),0.10,(0.07),(0.07),(0.07),(0.04),ND,(0.09),0.10,(0.05),(0.09),ND,(0.05),(0.05),ND,ND,(0.08),ND,ND,0.12,(0.05),ND,ND,ND,ND,(0.03),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/L,2.2,2.9,7.3,7.7,5.7,2.0,4.4,0.84,0.85,2.7,1.5,0.86,1.3,0.55,0.22,1.1,1.0,0.49,1.5,0.43,0.85,0.40,0.32,0.14,0.82,ND,ND,1.2,0.31,ND,ND,ND,ND,0.21,ND,0.12,0.17,0.39,0.38,(0.06),0.18,ND,0.28,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.20,0.06,0.1,pg/L,ND,(0.07),(0.18),0.24,(0.15),ND,(0.18),ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.07),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.20,0.06,0.1,pg/L,(0.19),0.20,0.46,0.60,0.40,(0.12),0.49,ND,(0.08),(0.12),(0.14),(0.08),(0.12),ND,ND,(0.19),0.24,ND,(0.15),ND,(0.15),ND,(0.07),ND,(0.07),ND,ND,(0.14),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.20,0.06,0.1,pg/L,(0.10),(0.16),0.38,0.42,0.35,(0.11),0.26,ND,ND,(0.10),(0.11),ND,(0.07),ND,ND,(0.13),(0.15),ND,(0.12),ND,(0.10),ND,ND,ND,ND,ND,ND,(0.09),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
