項目名,毒性等価係数,江東区大島8／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,目黒区東が丘1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,大田区大森西5／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,世田谷区尾山台3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,中野区江古田2／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,杉並区桃井1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,北区赤羽西3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,練馬区練馬2／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,葛飾区小菅4／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）
"1,3,6,8-TeCDD",0,0.19,0.06,43,0.19,0.06,17,0.18,0.05,4.9,0.19,0.06,9.9,0.18,0.06,15,0.20,0.06,8.4,0.21,0.06,3.3,0.19,0.06,14,0.19,0.06,15
"1,3,7,9-TeCDD",0,0.19,0.06,22,0.19,0.06,8.7,0.18,0.05,2.3,0.19,0.06,4.5,0.18,0.06,6.9,0.20,0.06,3.6,0.21,0.06,1.7,0.19,0.06,6.7,0.19,0.06,6.7
"2,3,7,8-TeCDD",1,0.19,0.06,0.70,0.19,0.06,0.31,0.18,0.05,(0.15),0.19,0.06,(0.17),0.18,0.06,0.25,0.20,0.06,(0.15),0.21,0.06,0.33,0.19,0.06,0.21,0.19,0.06,(0.16)
"1,2,3,7,8-PeCDD",1,0.19,0.06,3.2,0.20,0.06,1.8,0.18,0.05,0.60,0.19,0.06,0.85,0.19,0.06,1.3,0.20,0.06,0.72,0.21,0.06,1.1,0.19,0.06,1.2,0.19,0.06,0.93
"1,2,3,4,7-PeCDD",0,0.19,0.06,7.2,0.20,0.06,2.6,0.18,0.05,0.90,0.19,0.06,1.1,0.19,0.06,1.8,0.20,0.06,0.95,0.21,0.06,0.75,0.19,0.06,1.5,0.19,0.06,1.5
"1,2,3,4,7,8-HxCDD",0.1,0.4,0.1,2.9,0.4,0.1,1.4,0.4,0.1,0.4,0.4,0.1,0.7,0.4,0.1,1.3,0.4,0.1,0.6,0.4,0.1,(0.3),0.4,0.1,0.9,0.4,0.1,0.8
"1,2,3,6,7,8-HxCDD",0.1,0.3,0.1,5.6,0.3,0.1,2.9,0.31,0.09,0.91,0.3,0.1,1.8,0.3,0.1,2.6,0.3,0.1,1.6,0.4,0.1,1.2,0.3,0.1,2.2,0.3,0.1,1.6
"1,2,3,7,8,9-HxCDD",0.1,0.5,0.2,5.1,0.5,0.2,3.7,0.5,0.1,1.1,0.5,0.1,2.4,0.5,0.1,2.4,0.5,0.2,1.8,0.6,0.2,4.0,0.5,0.1,3.7,0.5,0.1,1.5
"1,2,3,4,6,7,8-HpCDD",0.01,1.5,0.4,47,1.5,0.5,29,1.4,0.4,11,1.4,0.4,16,1.4,0.4,24,1.5,0.5,15,1.6,0.5,6.7,1.4,0.4,18,1.4,0.4,14
OCDD,0.0003,2.6,0.8,220,2.6,0.8,230,2.4,0.7,150,2.5,0.7,120,2.5,0.7,120,2.6,0.8,220,2.8,0.8,51,2.5,0.8,140,2.5,0.7,98
"1,3,6,8-TeCDF",0,0.31,0.09,6.2,0.3,0.1,2.4,0.29,0.09,0.91,0.31,0.09,0.81,0.30,0.09,1.4,0.3,0.1,0.7,0.3,0.1,2.0,0.31,0.09,1.4,0.30,0.09,1.3
"1,2,7,8-TeCDF",0,0.31,0.09,8.8,0.3,0.1,3.6,0.29,0.09,1.5,0.31,0.09,1.4,0.30,0.09,1.9,0.3,0.1,1.3,0.3,0.1,12,0.31,0.09,2.2,0.30,0.09,1.7
"2,3,7,8-TeCDF",0.1,0.31,0.09,9.6,0.3,0.1,4.2,0.29,0.09,2.6,0.31,0.09,1.4,0.30,0.09,1.8,0.3,0.1,1.5,0.3,0.1,26,0.31,0.09,2.0,0.30,0.09,1.6
"1,2,3,7,8-PeCDF",0.03,0.5,0.1,9.1,0.5,0.1,3.5,0.4,0.1,1.4,0.5,0.1,1.3,0.5,0.1,2.0,0.5,0.1,1.2,0.5,0.2,11,0.5,0.1,ND,0.5,0.1,1.9
"2,3,4,7,8-PeCDF",0.3,0.7,0.2,9.8,0.7,0.2,4.4,0.6,0.2,1.5,0.7,0.2,1.6,0.7,0.2,2.8,0.7,0.2,1.6,0.7,0.2,7.3,0.7,0.2,2.4,0.7,0.2,1.9
"1,2,3,4,7,8-HxCDF",0.1,0.20,0.06,13,0.20,0.06,5.2,0.18,0.05,1.8,0.19,0.06,2.1,0.19,0.06,3.8,0.20,0.06,2.1,0.21,0.06,3.0,0.19,0.06,2.8,0.19,0.06,2.2
