項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,1江戸川／金町取水点,2旧江戸川／浦安橋,3中川／平井小橋,3中川／平井小橋／外部精度管理,4新中川／小岩大橋,5新川／新川橋,6隅田川／小台橋,7隅田川／両国橋,7隅田川／両国橋／外部精度管理,8新河岸川／志茂橋,8新河岸川／志茂橋／外部精度管理,9白子川／落合橋／,10石神井川／豊石橋,11神田川／柳橋,12日本橋川／西河岸橋,13横十間川／天神橋,13横十間川／天神橋／外部精度管理,14大横川／福寿橋,15北十間川／京成橋,16堅川／二之橋,17小名木川／進開橋,18旧中川／中平井橋,18旧中川／中平井橋／二重測定,19古川／金杉橋,20目黒川／太鼓橋,21立会川／立会川橋,21立会川／立会川橋／二重測定,22内川／富士見橋,23呑川／夫婦橋,24多摩川／和田橋,25秋川／東秋川橋,25秋川／東秋川橋／二重測定,26養沢川／新橋,27残堀川／立川橋,28城山川／五反田橋,29川口川／川口川橋,30程久保川／玉川橋,31三沢川／天神橋,31三沢川／天神橋／二重測定,32仙川／鎌田橋,33鶴見川／麻生橋,34成木川／両郡橋,35霞川／金子橋,36柳瀬川／清柳橋,37小河内ﾀﾞﾑ／ﾀﾞﾑ前定点
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.10,0.03,1,pg/L,ND,ND,ND,ND,0.10,(0.09),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.04),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.10,0.03,-,pg/L,6.0,8.4,38,38,66,8.4,4.6,1.7,1.5,4.9,3.7,5.2,0.32,0.58,0.58,2.7,2.2,2.1,3.5,1.7,0.79,1.9,1.9,0.30,0.25,0.12,0.12,0.26,0.27,0.10,0.16,0.13,(0.08),0.59,0.50,0.34,0.81,1.1,1.1,0.32,1.0,0.44,6.5,0.49,0.12
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.10,0.03,-,pg/L,2.1,3.0,14,14,24,3.9,1.6,0.62,0.51,1.7,1.3,1.8,(0.11),0.23,0.22,1.1,0.86,0.74,1.3,0.59,0.25,0.78,0.84,(0.10),(0.09),(0.05),(0.03),0.10,(0.09),(0.04),(0.06),(0.04),ND,0.24,(0.20),0.12,0.28,0.39,0.36,(0.12),0.34,0.17,2.1,(0.16),(0.04)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/L,8.7,12,54,54,94,17,8.2,4.6,3.9,9.1,7.1,8.7,1.3,2.8,1.7,4.9,4,3.8,6.1,2.8,1.4,3.3,3.4,3.5,5.7,0.49,0.41,1.1,5.1,0.14,0.22,0.17,(0.08),0.89,0.90,0.69,2.3,4.6,4.7,1.6,2.4,0.97,8.9,0.88,0.17
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.10,0.03,1,pg/L,ND,(0.05),0.12,0.11,0.16,0.29,(0.07),ND,ND,ND,ND,ND,ND,ND,ND,(0.07),(0.05),ND,(0.05),ND,ND,(0.04),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.04),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",0.10,0.03,-,pg/L,(0.04),(0.09),0.16,0.1,0.26,1.8,(0.06),ND,(0.04),(0.05),(0.04),ND,(0.04),(0.06),ND,(0.11),(0.05),ND,(0.14),ND,(0.03),(0.10),(0.08),ND,ND,ND,ND,ND,(0.04),ND,ND,ND,ND,(0.09),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/L,1.0,2.1,7.8,7.9,13,8.5,1.2,0.56,0.52,1.0,1.1,1.1,0.30,0.57,0.30,1.2,1.2,0.58,1.7,0.48,0.21,0.73,0.75,0.18,0.23,ND,ND,0.32,0.32,ND,ND,ND,ND,0.66,0.24,0.18,0.33,0.45,0.43,0.29,0.35,0.13,1.0,0.13,0.20
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.20,0.06,0.1,pg/L,ND,ND,0.21,0.21,0.52,0.31,(0.08),ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.09),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.09),ND,ND,ND,ND,ND,ND,ND,ND,(0.07),ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.20,0.06,0.1,pg/L,ND,0.20,0.53,0.52,0.65,(0.36),(0.12),ND,ND,ND,(0.07),(0.09),ND,ND,ND,0.31,0.36,ND,(0.18),ND,ND,(0.23),(0.18),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.10),ND,ND,ND,ND,ND,ND,ND,ND,(0.11),ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.20,0.06,0.1,pg/L,ND,(0.15),0.49,0.37,0.63,(0.38),(0.10),ND,ND,(0.08),(0.07),(0.08),ND,ND,ND,(0.17),(0.18),ND,(0.13),ND,ND,(0.12),(0.10),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.10),ND,ND,ND,ND,ND,ND,ND,ND,(0.10),ND,ND
