種類,減量化量（千t）,構成比（％）
下水汚泥,14405,82.6
建設汚泥,1774,10.2
その他汚泥,497,2.8
上水汚泥,366,2.1
廃プラスチック,76,0.4
がれき類,63,0.4
木くず,47,0.3
その他,220,1.3
合　計,17448,100.0
