項目名,毒性等価係数,定量下限値（pg/L）,検出下限値（pg/L）,中央区久松町7（pg/L）,目黒区中目黒3（pg/L）,世田谷区千歳台2（pg/L）,三鷹市井の頭4（pg/L）,町田市上小山田（pg/L）,狛江市和泉本町1（pg/L）,瑞穂町高根（pg/L）,檜原村人里（pg/L）
"1,3,6,8-TeCDD",0,0.10,0.03,0.08,1.2,0.05,0.09,0.07,0.06,0.12,0.15
"1,3,7,9-TeCDD",0,0.10,0.03,N.D.,0.43,N.D.,0.03,N.D.,N.D.,0.05,0.05
"2,3,7,8-TeCDD",1,0.10,0.03,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"1,2,3,7,8-PeCDD",1,0.10,0.03,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"1,2,3,4,7,8-HxCDD",0.1,0.20,0.07,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"1,2,3,6,7,8-HxCDD",0.1,0.20,0.07,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"1,2,3,7,8,9-HxCDD",0.1,0.20,0.07,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"1,2,3,4,6,7,8-HpCDD",0.01,0.20,0.07,0.09,0.65,N.D.,N.D.,N.D.,N.D.,0.14,0.15
OCDD,0.0003,0.5,0.2,1.2,6.6,0.2,0.3,0.2,0.6,1.0,1.2
"1,2,7,8-TeCDF",0,0.10,0.03,N.D.,0.04,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"2,3,7,8-TeCDF",0.1,0.10,0.03,N.D.,0.04,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"1,2,3,7,8-PeCDF",0.03,0.10,0.03,N.D.,0.04,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"2,3,4,7,8-PeCDF",0.3,0.10,0.03,N.D.,0.05,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"1,2,3,4,7,8-HxCDF",0.1,0.20,0.07,N.D.,0.08,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
