年度,上下水道業（千t）,建設業（千t）,製造業（千t）,その他（千t）,処分量合計（千t）
昭和57,600,2140,403,55,3198
昭和62,389,3680,373,80,4522
平成4　,362,5269,368,71,6070
平成10,232,3036,141,34,3443
平成15,33,1023,358,78,1493
平成16,31,1232,245,68,1576
平成17,90,802,153,136,1181
平成18,28,998,208,172,1405
平成19,27,845,170,121,1164
平成20,29,604,200,197,1030
平成21,22,554,98,165,839
平成22,17,507,147,115,786
平成23,93,590,252,96,1031
平成24,104,436,238,99,877
平成25,89,499,105,55,747
平成26,48,486,115,55,704
平成27,45,401,101,59,606
平成28,31,395,109,45,580
