測定日,測定位置（高さ(m)）,Ａ１（μSv/h）,Ａ２（μSv/h）,Ａ３（μSv/h）,Ａ４（μSv/h）,Ａ５（μSv/h）,Ａ６（μSv/h）,Ａ７（μSv/h）,Ａ８（μSv/h）
平成27年 9月24日,  1.0,0.05,0.04,0.04,0.04,0.04,0.05,0.06,0.04
平成27年 9月16日,  1.0,0.06,0.03,0.04,0.03,0.04,0.04,0.05,0.04
平成27年 9月9日,  1.0,0.04,0.03,0.04,0.04,0.04,0.05,0.04,0.03
平成27年 9月2日,  1.0,0.05,0.04,0.03,0.04,0.04,0.06,0.05,0.03
平成27年 8月26日,  1.0,0.05,0.04,0.04,0.03,0.05,0.04,0.05,0.04
平成27年 8月19日,  1.0,0.06,0.04,0.04,0.04,0.04,0.05,0.06,0.03
平成27年 8月12日,  1.0,0.04,0.02,0.03,0.03,0.03,0.03,0.04,0.02
平成27年 8月5日,  1.0,0.05,0.03,0.03,0.03,0.04,0.04,0.04,0.03
平成27年 7月29日,  1.0,0.05,0.03,0.04,0.03,0.03,0.05,0.04,0.03
平成27年 7月22日,  1.0,0.04,0.03,0.03,0.03,0.04,0.04,0.03,0.03
平成27年 7月15日,  1.0,0.04,0.03,0.04,0.02,0.04,0.03,0.03,0.03
平成27年 7月8日,  1.0,0.05,0.03,0.04,0.04,0.03,0.05,0.04,0.04
平成27年 7月1日,  1.0,0.07,0.06,0.06,0.06,0.06,0.07,0.07,0.06
