年度,汚泥（千t）,その他（千t）,合計（千t）
昭和57,600,0,600
昭和62,389,0,389
平成4　,362,0,362
平成10,232,0,232
平成15,33,0,33
平成16,30,1,31
平成17,90,0,90
平成18,28,0,28
平成19,27,0,27
平成20,29,0,29
平成21,22,0,22
平成22,17,0,17
平成23,93,0,93
平成24,102,2,104
平成25,89,0,89
平成26,48,0,48
平成27,45,0,45
平成28,31,0,31
