測定日,測定位置（高さ(m)）,Ａ１（μSv/h）,Ａ２（μSv/h）,Ａ３（μSv/h）,Ａ４（μSv/h）,Ａ５（μSv/h）,Ａ６（μSv/h）,Ａ７（μSv/h）,Ａ８（μSv/h）
平成29年 3月28日,  1.0,0.05,0.04,0.02,0.04,0.05,0.04,0.04,0.07
平成29年 3月22日,  1.0,0.04,0.05,0.03,0.05,0.06,0.04,0.04,0.07
平成29年 3月14日,  1.0,0.03,0.04,0.04,0.02,0.04,0.04,0.04,0.07
平成29年 3月7日,  1.0,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.07
平成29年 2月28日,  1.0,0.04,0.04,0.04,0.05,0.04,0.04,0.05,0.07
平成29年 2月21日,  1.0,0.06,0.07,0.04,0.05,0.03,0.03,0.04,0.07
平成29年 2月14日,  1.0,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.07
平成29年 2月7日,  1.0,0.04,0.04,0.03,0.04,0.04,0.05,0.04,0.07
平成29年 1月31日,  1.0,0.05,0.04,0.05,0.04,0.04,0.04,0.05,0.06
平成29年 1月24日,  1.0,0.06,0.03,0.04,0.05,0.06,0.04,0.04,0.08
平成29年 1月17日,  1.0,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.06
平成29年 1月10日,  1.0,0.04,0.04,0.04,0.04,0.05,0.04,0.05,0.06
平成29年 1月5日,  1.0,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.06
