業種名,報告事業所数（件）,割合（％）
燃料小売業（ガソリンスタント等）,984,41
電気めっき業,219,9
普通洗濯業（クリーニング店等）,146,6
印刷業,89,4
化学工業,89,4
金属製品塗装業,84,4
自動車整備業,84,4
金属製品製造業,85,4
電気機械器具製造業,65,3
その他,544,23
合計,2389,100
