レンジ,基準,原単位(kg-CO2/m2)範囲,事業所数,平均面積(m2),平均原単位(kg-CO2/m2)
A4,0.55以下,68.9以下,7,10873,125.2
A3+,0.55超-0.60以下,68.9超-75.2以下,7,8539,125.2
A3,0.60超-0.65以下,75.2超-81.4以下,5,2429,125.2
A3-,0.65超-0.70以下,81.4超-87.7以下,10,3622,125.2
A2+,0.70超-0.75以下,87.7超-93.9以下,10,2756,125.2
A2,0.75超-0.80以下,93.9超-100.2以下,10,4839,125.2
A2-,0.80超-0.85以下,100.2超-106.5以下,13,2954,125.2
A1+,0.85超-0.90以下,106.5超-112.7以下,9,5033,125.2
A1,0.90超-0.95以下,112.7超-119.0以下,14,5467,125.2
A1-,0.95超-1.00以下,119.0超-125.2以下,3,4422,125.2
B2+,1.00超-1.05以下,125.2超-131.5以下,9,3698,125.2
B2,1.05超-1.10以下,131.5超-137.8以下,10,4407,125.2
B2-,1.10超-1.15以下,137.8超-144.0以下,6,3676,125.2
B1,1.15超-1.50以下,144.0超-187.8以下,35,3453,125.2
C,1.50超,187.8超,10,2716,125.2
