年度,汚泥（千t）,ガラス・陶磁器くず（千t）,廃プラスチック類（千t）,動植物性残さ（千t）,鉱さい（千t）,がれき類（千t）,金属くず（千t）,木くず（千t）,その他（千t）,製造業計（千t）
昭和57,1555,21,103,21,237,1,48,17,156,2159
昭和62,1618,37,106,67,178,2,22,39,138,2208
平成4　,1495,38,147,71,124,10,63,135,253,2336
平成10,1563,18,84,16,69,0,51,4,208,2013
平成15,919,387,77,50,5,30,58,9,239,1774
平成16,551,25,25,54,88,64,140,10,386,1343
平成17,527,7,65,39,67,0,84,1,306,1096
平成18,620,187,61,38,187,26,112,8,50,1289
平成19,768,128,70,44,33,7,96,9,318,1473
平成20,637,182,61,33,18,23,31,6,156,1147
平成21,483,149,33,28,0,7,21,5,64,790
平成22,273,212,37,25,14,120,8,8,57,754
平成23,366,444,43,27,18,7,10,8,53,976
平成24,431,421,35,22,13,0,9,9,51,991
平成25,437,414,85,49,42,36,24,19,135,1242
平成26,406,445,82,42,0,43,21,17,66,1122
平成27,442,421,60,18,2,86,18,5,74,1126
平成28,500,501,30,23,0,92,25,11,75,1257
平成29,509,538,24,25,0,14,7,3,42,1162
