項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位※1,1江戸川／金町取水点,2旧江戸川／浦安橋,3中川／平井小橋,4新中川／小岩大橋,5新川／新川橋,6隅田川／小台橋,7隅田川／両国橋,7隅田川／両国橋　　外部精度管理,8新河岸川／志茂橋,9白子川／落合橋／,10石神井川／豊石橋,11神田川／柳橋,12日本橋川／西河岸橋,13横十間川／天神橋,13横十間川／天神橋　　外部精度管理,14大横川／福寿橋,15北十間川／京成橋,16堅川／二之橋,17小名木川／進開橋,18旧中川／中平井橋,18旧中川／中平井橋／二重測定,19古川／金杉橋,20目黒川／太鼓橋,21立会川／立会川橋,21立会川／立会川橋／二重測定,22内川／富士見橋,23呑川／夫婦橋,24日原川／氷川小橋,25平井川／多西橋,26北秋川／西川橋,27谷地川／下田橋下,28浅川／中央道北浅川橋,29南浅川／横川橋,30湯殿川／春日橋,31大栗川／向ノ岡大橋,32野川／天神森橋,33恩田川／都橋,34境川／鶴間一号橋,34境川／鶴間一号橋／二重測定,35黒沢川／落合橋,36空堀川／梅坂橋,37黒目川／神宝大橋,37黒目川／神宝大橋／二重測定
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.30,0.10,1,pg/g,ND,ND,ND,(0.2),1.1,0.8,(0.3),0.4,(0.1),ND,ND,ND,(0.2),7.4,9,2.5,4.5,9.4,1.4,1.4,1.5,ND,ND,ND,ND,0.5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.30,0.10,-,pg/g,16,12,66,190,380,54,58,63,18,25,1.2,2.4,18,410,490,410,330,830,160,110,110,2.1,1.8,1.5,1.1,17,2.7,(0.3),4.6,0.6,11,2.2,3.5,6.9,5.0,1.8,3.9,3.0,4.8,2.0,2.4,4.2,3.8
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.30,0.10,-,pg/g,5.3,4.1,24,70,150,22,23,26,6.8,9.1,0.7,1.0,7.6,200,230,170,150,380,77,54,53,0.9,0.7,0.6,0.4,8.0,1.2,ND,1.5,(0.2),3.6,1.4,1.5,2.1,1.9,0.7,1.6,1.1,1.8,0.8,1.0,1.9,1.6
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/g,22,17,93,260,560,85,90,97,28,39,3.0,4.0,32,700,810,660,570,1300,270,200,200,4.3,3.8,2.7,2.5,55,5.9,(0.3),6.5,0.8,16,5.0,6.8,10,8.7,3.1,6.8,5.0,7.7,3.9,4.4,7.5,6.6
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.30,0.10,1,pg/g,ND,ND,(0.2),0.7,3.0,0.6,0.5,0.4,(0.1),0.4,(0.3),(0.1),0.3,6.7,9.2,3.5,5.0,8.3,2.3,3.5,4.0,(0.1),(0.1),ND,ND,1.6,ND,ND,ND,ND,0.3,(0.2),(0.2),(0.3),(0.2),ND,(0.3),(0.1),(0.1),ND,ND,(0.2),(0.2)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",0.30,0.10,-,pg/g,ND,(0.2),(0.2),0.9,6.0,0.8,1.0,0.38,(0.3),0.7,0.4,(0.3),0.9,13,9.5,7.1,9.2,13,4.3,5.9,6.6,(0.3),(0.2),(0.2),(0.2),2.8,(0.2),ND,(0.1),ND,0.5,(0.3),0.5,0.5,0.4,(0.3),0.4,(0.2),(0.3),(0.2),(0.2),0.5,0.5
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/g,3.3,3.0,12,41,120,17,17,13,5.6,11,2.7,1.9,12,200,230,140,150,260,65,76,78,2.7,1.6,1.1,1.1,32,2.3,ND,1.6,0.4,6.6,3.2,5.6,3.7,5.6,1.6,5.0,2.3,2.8,1.9,2.0,5.0,4.3
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.70,0.20,0.1,pg/g,ND,ND,(0.4),0.9,4.0,(0.6),(0.5),(0.6),ND,(0.4),ND,ND,(0.5),9.3,11,5.3,8.1,11,2.8,4.5,4.7,ND,ND,ND,ND,1.6,ND,ND,ND,ND,(0.3),ND,(0.2),ND,(0.3),ND,(0.2),ND,ND,ND,ND,ND,(0.2)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.70,0.20,0.1,pg/g,(0.2),ND,(0.6),1.8,9.6,1.3,1.4,1.6,(0.4),0.8,(0.2),(0.3),1.0,67,74,16,42,29,12,14,13,(0.3),(0.2),ND,ND,3.4,(0.3),ND,ND,ND,0.7,ND,(0.6),ND,(0.5),ND,(0.4),(0.4),(0.6),ND,ND,(0.5),(0.5)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.70,0.20,0.1,pg/g,(0.2),ND,(0.6),1.7,8.1,1.0,1.3,1.5,(0.3),0.7,(0.6),(0.5),0.8,30,34,10,20,18,5.9,8.7,8.1,(0.3),ND,(0.3),(0.3),2.8,ND,ND,ND,ND,(0.5),ND,(0.4),(0.4),(0.3),(0.2),(0.3),(0.4),(0.3),ND,ND,(0.4),(0.4)
