種類,最終処分量（千t）,構成比（％）
上水汚泥,13,2.2
下水汚泥,18,3.1
建設汚泥,53,9.1
その他汚泥,55,9.5
廃プラスチック,23,4.0
木くず,3,0.5
ｶﾞﾗｽ陶磁器くず,122,21.0
がれき類,108,18.6
混合廃棄物,104,17.9
その他,81,14.0
合計,580,100.0
