,化合物の名称等,,毒性等価係数,定量下限値（pg/m3）,検出下限値（pg/m3）,(1)中央区晴海局／2月6日～2月13日（pg/m3）,(2)目黒区碑文谷局／2月6日～2月13日（pg/m3）,(3)大田区東糀谷局／2月6日～2月13日（pg/m3）,(4)世田谷区世田谷局／2月6日～2月13日（pg/m3）,(5)中野区若宮局／2月6日～2月13日（pg/m3）,(6)荒川区南千住局／2月6日～2月13日（pg/m3）,(7)板橋区本町局／2月6日～2月13日（pg/m3）,(8)練馬区石神井町局／2月6日～2月13日（pg/m3）,(9)足立区西新井局／2月6日～2月13日（pg/m3）,(10)葛飾区鎌倉／2月6日～2月13日（pg/m3）,(11)江戸川区春江町局／2月6日～2月13日（pg/m3）
実測濃度,PCDDs,"1,3,6,8-TeCDD",0,0.0030,0.0009,0.080,0.073,0.074,0.079,0.093,0.088,0.072,0.053,0.11,0.11,0.11
実測濃度,PCDDs,"1,3,7,9-TeCDD",0,0.0030,0.0009,0.040,0.035,0.037,0.042,0.048,0.044,0.041,0.026,0.057,0.056,0.057
実測濃度,PCDDs,"2,3,7,8-TeCDD",1,0.0030,0.0009,(0.0017),ND,(0.0015),(0.0012),ND,(0.0019),(0.0012),ND,(0.0016),0.0046,(0.0021)
実測濃度,PCDDs,TeCDDs,－,―,―,0.18,0.16,0.16,0.17,0.20,0.20,0.17,0.12,0.25,0.31,0.26
実測濃度,PCDDs,"1,2,3,7,8-PeCDD",1,0.004,0.001,0.005,ND,0.007,0.005,0.006,0.007,0.007,(0.004),0.009,0.019,0.010
実測濃度,PCDDs,PeCDDs,－,―,―,0.16,0.12,0.16,0.14,0.17,0.19,0.17,0.12,0.22,0.29,0.21
実測濃度,PCDDs,"1,2,3,4,7,8-HxCDD",0.1,0.005,0.001,0.005,(0.005),0.006,(0.005),0.006,0.007,0.006,(0.004),0.008,0.016,0.009
実測濃度,PCDDs,"1,2,3,6,7,8-HxCDD",0.1,0.004,0.001,0.014,0.011,0.013,0.010,0.011,0.014,0.013,0.009,0.016,0.022,0.015
実測濃度,PCDDs,"1,2,3,7,8,9-HxCDD",0.1,0.0033,0.0009,0.011,0.0085,0.0099,0.0081,0.0084,0.012,0.011,0.0063,0.012,0.021,0.013
実測濃度,PCDDs,HxCDDs,－,―,―,0.20,0.16,0.22,0.17,0.20,0.23,0.20,0.15,0.24,0.31,0.23
実測濃度,PCDDs,"1,2,3,4,6,7,8-HpCDD",0.01,0.012,0.003,0.076,0.058,0.087,0.055,0.071,0.081,0.063,0.050,0.11,0.13,0.091
実測濃度,PCDDs,HpCDDs,－,―,―,0.16,0.13,0.18,0.12,0.16,0.17,0.14,0.11,0.22,0.26,0.19
実測濃度,PCDDs,OCDD,0.0003,0.021,0.006,0.17,0.15,0.22,0.13,0.13,0.18,0.15,0.11,0.24,0.27,0.23
実測濃度,PCDDs,Total PCDDs,－,―,―,0.87,0.71,0.94,0.74,0.86,0.95,0.84,0.60,1.2,1.4,1.1
実測濃度,PCDFs,"1,2,7,8-TeCDF",0,0.0027,0.0009,0.020,0.015,0.020,0.018,0.018,0.020,0.015,0.012,0.025,0.028,0.028
実測濃度,PCDFs,"2,3,7,8-TeCDF",0.1,0.0027,0.0009,0.012,0.0096,0.013,0.012,0.010,0.013,0.010,0.0088,0.015,0.018,0.016
実測濃度,PCDFs,"1,3,6,8-TeCDF",0,0.0027,0.0009,0.023,0.017,0.021,0.019,0.021,0.023,0.017,0.012,0.028,0.031,0.034
実測濃度,PCDFs,TeCDFs,－,―,―,0.54,0.42,0.51,0.46,0.50,0.55,0.42,0.32,0.68,0.71,0.73
実測濃度,PCDFs,"1,2,3,7,8-PeCDF",0.03,0.004,0.001,0.019,0.014,0.020,0.016,0.018,0.021,0.019,0.012,0.026,0.033,0.024
実測濃度,PCDFs,"2,3,4,7,8-PeCDF",0.3,0.004,0.001,0.029,0.022,0.025,0.024,0.025,0.031,0.027,0.018,0.034,0.042,0.035
実測濃度,PCDFs,PeCDFs,－,―,―,0.42,0.31,0.39,0.32,0.36,0.43,0.36,0.26,0.53,0.58,0.53
実測濃度,PCDFs,"1,2,3,4,7,8-HxCDF",0.1,0.0033,0.0009,0.037,0.026,0.034,0.027,0.031,0.036,0.030,0.022,0.043,0.050,0.045
実測濃度,PCDFs,"1,2,3,6,7,8-HxCDF",0.1,0.0021,0.0006,0.038,0.028,0.033,0.026,0.033,0.039,0.032,0.021,0.048,0.052,0.047
実測濃度,PCDFs,"1,2,3,7,8,9-HxCDF",0.1,0.004,0.001,(0.003),(0.003),(0.003),ND,0.004,0.004,ND,ND,0.004,0.004,0.006
